tu_id,start,end,type,utterance,text
q8nc2f.1,0.0000,0.3162,,,
q8nc2f.2,0.3162,0.4480,nonvocal,,
q8nc2f.3,0.4480,1.1199,,,
q8nc2f.4,1.1199,2.0422,nonvocal,,
q8nc2f.5,2.0422,3.2280,,,
q8nc2f.6,3.2280,4.5059,outbreath,,
q8nc2f.7,4.5059,6.6008,,,
q8nc2f.8,6.6008,7.9710,outbreath,,
q8nc2f.9,7.9710,9.6574,,,
q8nc2f.10,9.6574,10.8300,outbreath,,
q8nc2f.11,10.8300,12.8590,,,
q8nc2f.12,12.8590,14.7694,outbreath,,
q8nc2f.13,14.7694,15.5204,,,
q8nc2f.14,15.5204,17.4440,outbreath,,
q8nc2f.15,17.4440,18.1818,,,
q8nc2f.16,18.1818,18.6825,nonvocal,,
q8nc2f.17,18.6825,22.2635,,,
q8nc2f.18,22.2635,22.7043,,,right
q8nc2f.19,22.7043,23.0665,,,okay
q8nc2f.20,23.0666,23.6463,outbreath,,
q8nc2f.21,23.6463,25.9767,,,
q8nc2f.22,25.9767,26.1133,,2,right
q8nc2f.23,26.1133,26.2203,,2,what
q8nc2f.24,26.2204,26.3258,,2,was
q8nc2f.25,26.3258,26.4065,,2,that
q8nc2f.26,26.4065,26.6409,,2,last
q8nc2f.27,26.6409,26.7754,,2,one
q8nc2f.29,26.7754,32.1838,,,
q8nc2f.30,32.1838,32.5362,nonvocal,,
q8nc2f.31,32.5363,32.8805,,,
q8nc2f.32,32.8805,33.1653,,,okay
q8nc2f.33,33.1653,35.6960,,,
q8nc2f.34,35.6960,36.5975,,4,mm
q8nc2f.36,36.5975,42.2332,,,
q8nc2f.37,42.2332,43.4914,outbreath,,
q8nc2f.38,43.4914,44.9077,,,
q8nc2f.39,44.9078,45.7149,,6,springbok
q8nc2f.40,45.7149,46.7193,outbreath,,
q8nc2f.41,46.7194,47.4835,,,
q8nc2f.42,47.4835,48.0929,,8,northwest
q8nc2f.43,48.0929,48.5178,,8,three
q8nc2f.45,48.5178,48.6627,lowamp,,
q8nc2f.46,48.6627,50.7510,,,
q8nc2f.47,50.7510,52.1476,outbreath,,
q8nc2f.48,52.1476,53.4585,,,
q8nc2f.49,53.4585,54.6047,outbreath,,
q8nc2f.50,54.6047,56.5415,,,
q8nc2f.51,56.5415,57.8261,outbreath,,
q8nc2f.52,57.8261,59.5718,,,
q8nc2f.53,59.5718,60.8827,outbreath,,
q8nc2f.54,60.8827,61.1660,lipsmack,,
q8nc2f.55,61.1660,61.6008,inbreath,,
q8nc2f.56,61.6008,62.8195,outbreath,,
q8nc2f.57,62.8195,63.6166,laugh,,
q8nc2f.58,63.6166,67.8631,,,
q8nc2f.59,67.8631,68.3136,,10,mmhmm
q8nc2f.61,68.3136,71.0277,,,
q8nc2f.62,71.0277,72.3452,outbreath,,
q8nc2f.63,72.3452,74.0514,,,
q8nc2f.64,74.0514,75.3623,outbreath,,
q8nc2f.65,75.3624,77.5956,,,
q8nc2f.66,77.5956,78.6628,outbreath,,
q8nc2f.67,78.6628,80.5685,,,
q8nc2f.68,80.5685,82.1213,outbreath,,
q8nc2f.69,82.1213,83.5574,,,
q8nc2f.70,83.5574,84.7431,outbreath,,
q8nc2f.71,84.7431,86.6667,,,
q8nc2f.72,86.6667,87.5099,outbreath,,
q8nc2f.73,87.5099,89.3017,,,
q8nc2f.74,89.3017,91.0878,breath,,
q8nc2f.75,91.0878,91.6733,,,
q8nc2f.76,91.6733,92.4770,outbreath,,
q8nc2f.77,92.4770,95.6786,,,
q8nc2f.78,95.6786,96.4494,outbreath,,
q8nc2f.79,96.4494,99.0712,,,
q8nc2f.80,99.0712,100.2767,outbreath,,
q8nc2f.81,100.2767,101.1265,,,
q8nc2f.82,101.1265,101.2385,lipsmack,,
q8nc2f.83,101.2385,101.7326,outbreath,,
q8nc2f.84,101.7326,102.2398,,,
q8nc2f.85,102.2398,102.7536,inbreath,,
q8nc2f.86,102.7537,102.9711,,,
q8nc2f.87,102.9711,103.4388,,12,mm
q8nc2f.89,103.4388,103.6364,,12,so
q8nc2f.90,103.6364,104.0218,,12,so
q8nc2f.92,104.0218,104.3183,lowamp,,
q8nc2f.93,104.3183,105.0955,,,
q8nc2f.94,105.0956,105.3459,inbreath,,
q8nc2f.95,105.3459,106.3867,outbreath,,
q8nc2f.96,106.3867,108.8636,,,
q8nc2f.97,108.8637,109.5159,outbreath,,
q8nc2f.98,109.5159,110.8136,,,
q8nc2f.99,110.8136,111.7490,inbreath,,
q8nc2f.100,111.7490,111.9499,,,
