tu_id,start,end,type,utterance,text
q7ec2f.1,0.0000,1.8957,,,
q7ec2f.2,1.8957,2.0883,lipsmack,,
q7ec2f.3,2.0883,2.7471,inbreath,,
q7ec2f.4,2.7471,2.8919,,,
q7ec2f.5,2.8920,3.1522,,2,top
q7ec2f.6,3.1522,3.5837,,2,left-hand
q7ec2f.7,3.5837,3.9625,,2,corner
q7ec2f.9,3.9625,4.8418,,,
q7ec2f.10,4.8419,4.9769,lipsmack,,
q7ec2f.11,4.9769,5.3227,,4,yes
q7ec2f.13,5.3228,5.7082,,,
q7ec2f.14,5.7082,5.9783,inbreath,,
q7ec2f.15,5.9783,18.8274,,,
q7ec2f.16,18.8274,19.5784,,6,southeasterly
q7ec2f.18,19.5784,29.8222,,,
q7ec2f.19,29.8222,29.9540,lipsmack,,
q7ec2f.20,29.9540,30.0330,,,
q7ec2f.21,30.0330,30.4085,,8,right
q7ec2f.23,30.4085,31.0013,,,
q7ec2f.24,31.0013,31.8248,inbreath,,
q7ec2f.25,31.8248,56.5415,,,
q7ec2f.26,56.5415,56.6667,,10,where
q7ec2f.27,56.6667,56.7490,,10,it
q7ec2f.28,56.7490,57.0191,,10,says
q7ec2f.29,57.0191,57.5692,,10,carpenter
q7ec2f.31,57.5692,59.6180,,,
q7ec2f.32,59.6180,59.7761,,12,mmhmm
q7ec2f.34,59.7761,69.1798,,,
q7ec2f.35,69.1798,69.1930,lipsmack,,
q7ec2f.36,69.1930,69.3807,,,
q7ec2f.37,69.3808,69.9144,,14,avoiding
q7ec2f.38,69.9144,69.9770,,14,the
q7ec2f.39,69.9770,70.5929,,14,blacksmith
q7ec2f.41,70.5929,76.2615,,,
q7ec2f.42,76.2615,76.5579,laugh,,
q7ec2f.43,76.5580,76.8413,,,
q7ec2f.44,76.8413,77.4143,inbreath,,
q7ec2f.45,77.4143,77.7371,,,
q7ec2f.46,77.7371,77.8458,,16,right
q7ec2f.47,77.8458,77.9808,,16,there's
q7ec2f.49,77.9809,78.0435,,18,a
