tu_id,start,end,type,utterance,text
q5nc6g.1,0.0000,0.4683,,1,okay
q5nc6g.4,0.4683,0.6395,outbreath,,
q5nc6g.5,0.6395,0.7800,,,
q5nc6g.6,0.7800,1.3003,inbreath,,
q5nc6g.7,1.3003,1.3793,,,
q5nc6g.8,1.3793,1.4693,,1,you're
q5nc6g.10,1.4693,2.2728,,1,starting
q5nc6g.11,2.2728,2.5100,,,
q5nc6g.12,2.5100,3.0552,inbreath,,
q5nc6g.13,3.0552,3.3811,,,
q5nc6g.14,3.3811,4.1251,,1,at
q5nc6g.15,4.1251,4.5230,,,
q5nc6g.16,4.5230,4.7950,,1,the
q5nc6g.18,4.7950,5.2870,,1,ehm
q5nc6g.20,5.2870,5.4170,lowamp,,
q5nc6g.21,5.4170,6.4527,,,
q5nc6g.22,6.4528,6.4794,lipsmack,,
q5nc6g.23,6.4794,7.1751,,,
q5nc6g.24,7.1751,7.6970,,3,left-hand
q5nc6g.25,7.6970,8.1410,,3,side
q5nc6g.26,8.1410,8.2670,,3,of
q5nc6g.27,8.2670,8.3510,,3,the
q5nc6g.28,8.3511,8.8311,,3,cliffs
q5nc6g.30,8.8311,8.8910,lowamp,,
q5nc6g.31,8.8910,10.3195,,,
q5nc6g.32,10.3195,10.6337,,5,right
q5nc6g.34,10.6337,10.8214,,5,got
q5nc6g.35,10.8214,11.0479,,7,start
q5nc6g.36,11.0479,11.3396,,7,point
q5nc6g.37,11.3396,11.4579,,7,right
q5nc6g.39,11.4579,11.7456,,,
q5nc6g.40,11.7456,12.4250,inbreath,,
q5nc6g.41,12.4250,12.5707,,,
q5nc6g.42,12.5707,12.7467,,8,oh
q5nc6g.44,12.7467,14.3385,outbreath,,
q5nc6g.45,14.3385,14.4714,lipsmack,,
q5nc6g.46,14.4714,14.5578,,,
q5nc6g.47,14.5578,15.5418,inbreath,,
q5nc6g.48,15.5419,15.5660,,,
q5nc6g.49,15.5660,15.7380,,8,you're
q5nc6g.51,15.7380,16.2199,,8,going to
q5nc6g.52,16.2200,16.4700,outbreath,,
q5nc6g.53,16.4700,16.9548,,,
q5nc6g.54,16.9548,17.1181,,8,do
q5nc6g.55,17.1181,17.2101,,8,a
q5nc6g.56,17.2101,17.7120,,8,backward
q5nc6g.57,17.7121,18.2181,,8,"""s"""
q5nc6g.59,18.2181,18.9615,,,
q5nc6g.60,18.9615,19.3601,,8,okay
q5nc6g.62,19.3601,19.9655,breath,,
q5nc6g.63,19.9655,20.7943,laugh,,
q5nc6g.64,20.7943,20.9112,,8,you're
q5nc6g.66,20.9112,21.2277,,8,going to
q5nc6g.67,21.2277,21.3177,,8,do
q5nc6g.68,21.3177,21.4337,,8,a
q5nc6g.69,21.4337,21.8197,,8,backward
q5nc6g.70,21.8197,22.0757,,8,"""s"""
q5nc6g.72,22.0757,22.7817,inbreath,,
q5nc6g.73,22.7817,22.9197,,,
q5nc6g.74,22.9197,23.2197,,8,you
q5nc6g.75,23.2197,23.2813,lowamp,,
q5nc6g.76,23.2813,24.5811,,,
q5nc6g.77,24.5811,24.6376,lipsmack,,
q5nc6g.78,24.6376,25.6397,,,
q5nc6g.79,25.6397,25.9857,,10,right
q5nc6g.81,25.9857,26.7637,,,
q5nc6g.82,26.7637,27.0297,inbreath,,
q5nc6g.83,27.0297,27.1917,,10,you're
q5nc6g.85,27.1917,27.5937,,10,going to
q5nc6g.86,27.5937,27.7327,,,
q5nc6g.87,27.7327,27.9021,,10,go
q5nc6g.88,27.9021,28.3981,,10,down
q5nc6g.89,28.3981,28.4661,outbreath,,
q5nc6g.90,28.4661,29.0201,,,
q5nc6g.91,29.0201,29.7181,,10,slightly
q5nc6g.92,29.7181,29.9110,,,
q5nc6g.93,29.9110,30.0470,,10,for
q5nc6g.94,30.0470,30.4410,,10,about
q5nc6g.95,30.4411,30.5951,,,
q5nc6g.96,30.5951,30.6391,,10,a
q5nc6g.97,30.6391,31.2211,,10,centimetre
q5nc6g.99,31.2211,34.0156,,,
q5nc6g.100,34.0156,34.1728,,12,this
q5nc6g.101,34.1728,34.2703,,12,is
q5nc6g.102,34.2703,34.6668,,12,before
q5nc6g.103,34.6668,34.8396,,12,it
q5nc6g.105,34.8396,35.0899,,,
q5nc6g.106,35.0899,35.2073,inbreath,,
