tu_id,start,end,type,utterance,text
q6nc8g.1,0.0000,0.2460,,1,right
q6nc8g.4,0.2460,0.6333,,,
q6nc8g.5,0.6333,0.7231,lipsmack,,
q6nc8g.6,0.7231,0.8810,,,
q6nc8g.7,0.8810,1.0289,,1,the
q6nc8g.8,1.0289,1.4927,,1,start's
q6nc8g.10,1.4927,1.6406,,1,just
q6nc8g.11,1.6406,1.8035,,1,above
q6nc8g.12,1.8035,1.8899,,1,the
q6nc8g.13,1.8900,2.3787,,1,telephone
q6nc8g.14,2.3787,2.9671,,1,kiosk
q6nc8g.16,2.9671,4.7756,,,
q6nc8g.17,4.7756,4.8487,lipsmack,,
q6nc8g.18,4.8487,5.1213,,3,right
q6nc8g.20,5.1213,5.6382,,,
q6nc8g.21,5.6383,6.0439,nonvocal,,
q6nc8g.22,6.0439,6.4894,,,
q6nc8g.23,6.4894,6.6439,,3,go
q6nc8g.24,6.6439,7.0478,,3,down
q6nc8g.25,7.0479,7.4768,outbreath,,
q6nc8g.26,7.4768,7.7393,,,
q6nc8g.27,7.7393,8.1083,,3,past
q6nc8g.28,8.1083,8.1748,,3,the
q6nc8g.29,8.1748,8.4457,,3,left
q6nc8g.30,8.4458,8.9827,,3,side
q6nc8g.31,8.9827,9.3368,lowamp,,
q6nc8g.32,9.3368,9.9052,,,
q6nc8g.33,9.9052,10.0199,,,of the
q6nc8g.35,10.0199,10.5219,,3,telephone
q6nc8g.36,10.5219,11.1835,,3,kiosk
q6nc8g.38,11.1835,12.5083,,,
q6nc8g.39,12.5083,12.7028,,5,right
q6nc8g.40,12.7028,12.9005,,5,down
q6nc8g.41,12.9005,12.9620,,5,for
q6nc8g.42,12.9620,13.3460,,5,about
q6nc8g.43,13.3460,13.5771,,,
q6nc8g.44,13.5771,13.8929,,5,ten
q6nc8g.45,13.8929,14.6542,,5,centimetres
q6nc8g.47,14.6542,15.0482,lowamp,,
q6nc8g.48,15.0482,16.4295,,,
q6nc8g.49,16.4295,16.6771,,7,now
q6nc8g.50,16.6772,17.2091,,,
q6nc8g.51,17.2091,17.3936,,9,my
q6nc8g.52,17.3936,17.7859,,9,map
q6nc8g.53,17.7859,17.9636,,,
q6nc8g.54,17.9637,18.1017,,9,there's
q6nc8g.56,18.1017,18.1665,,9,a
