tu_id,start,end,type,utterance,text
q8ec7g.1,0.0000,0.3557,,1,right
q8ec7g.3,0.3557,0.7740,,,
q8ec7g.4,0.7740,1.2170,,1,er
q8ec7g.6,1.2171,1.4740,outbreath,,
q8ec7g.7,1.4740,1.6387,,,
q8ec7g.8,1.6387,1.8100,lipsmack,,
q8ec7g.9,1.8100,1.8857,,,
q8ec7g.10,1.8857,1.9153,,1,the
q8ec7g.11,1.9153,2.3995,,1,start
q8ec7g.12,2.3995,2.6531,,,
q8ec7g.13,2.6532,3.1226,,1,is
q8ec7g.14,3.1226,3.2526,,,
q8ec7g.15,3.2526,3.5803,,1,above
q8ec7g.16,3.5804,3.7566,,1,an
q8ec7g.17,3.7566,4.3742,,1,extinct
q8ec7g.18,4.3742,5.0346,,1,volcano
q8ec7g.20,5.0346,5.2059,,,
q8ec7g.21,5.2059,5.2257,lipsmack,,
q8ec7g.22,5.2257,5.3788,,1,do
q8ec7g.23,5.3788,5.4249,,1,you
q8ec7g.24,5.4249,5.5797,,1,have
q8ec7g.25,5.5797,5.8103,,1,that
q8ec7g.26,5.8103,6.0079,,1,on
q8ec7g.27,6.0079,6.1693,,1,your
q8ec7g.28,6.1693,6.3570,,1,map
q8ec7g.30,6.3570,7.8465,,,
q8ec7g.31,7.8465,8.0098,lipsmack,,
q8ec7g.32,8.0099,8.0371,,,
q8ec7g.33,8.0371,8.2855,,3,okay
q8ec7g.35,8.2855,8.6392,,,
q8ec7g.36,8.6393,9.1071,inbreath,,
q8ec7g.37,9.1071,9.1782,,,
q8ec7g.38,9.1782,9.6189,,3,and
q8ec7g.39,9.6189,9.6903,,,
q8ec7g.40,9.6903,9.9557,,3,about
q8ec7g.41,9.9557,10.2728,,,
q8ec7g.42,10.2729,10.4482,,3,one
q8ec7g.43,10.4482,10.4903,,3,and
q8ec7g.44,10.4903,10.5394,,3,a
q8ec7g.45,10.5394,10.7777,,3,half
q8ec7g.46,10.7778,11.6176,,3,centimetres
q8ec7g.47,11.6176,12.0366,,3,above
q8ec7g.48,12.0366,12.3417,,3,the
q8ec7g.49,12.3417,12.5644,,,
q8ec7g.50,12.5644,12.9255,,3,peak
q8ec7g.51,12.9255,13.2744,,3,of
q8ec7g.52,13.2744,13.3726,,3,the
q8ec7g.53,13.3726,13.8968,,3,extinct
q8ec7g.54,13.8968,14.4298,,3,volcano
q8ec7g.55,14.4298,16.0618,,,
q8ec7g.56,16.0618,16.1484,unintelligible,,
q8ec7g.57,16.1484,16.4134,,,
q8ec7g.58,16.4134,16.5799,,5,is
q8ec7g.59,16.5800,16.6250,,5,the
q8ec7g.60,16.6250,17.0633,,5,start
q8ec7g.62,17.0633,17.1483,,,
q8ec7g.63,17.1483,17.3348,,5,yeah
q8ec7g.65,17.3349,17.5682,,,
q8ec7g.66,17.5682,17.7232,,5,you
q8ec7g.67,17.7232,17.8665,,5,got
q8ec7g.68,17.8665,18.0315,,5,that
q8ec7g.69,18.0315,18.1815,,5,on
q8ec7g.70,18.1815,18.2581,,7,your
q8ec7g.71,18.2581,18.5672,,7,map
q8ec7g.73,18.5672,18.6330,,,
q8ec7g.74,18.6331,18.7931,,7,okay
q8ec7g.76,18.7931,19.1164,,,
q8ec7g.77,19.1164,19.5163,inbreath,,
q8ec7g.78,19.5163,19.5446,,,
q8ec7g.79,19.5446,19.6096,nonvocal,,
q8ec7g.80,19.6096,19.7096,,,
q8ec7g.81,19.7096,20.2395,,9,and
q8ec7g.82,20.2395,20.5478,outbreath,,
q8ec7g.83,20.5478,21.2595,,,
q8ec7g.84,21.2595,21.4347,,9,go
q8ec7g.85,21.4347,22.0415,,,
q8ec7g.86,22.0415,22.6464,nonvocal,,
q8ec7g.87,22.6464,23.0586,,,
q8ec7g.88,23.0586,23.4752,,9,four
q8ec7g.89,23.4752,24.3706,,9,centimetres
q8ec7g.90,24.3706,24.4382,,,
q8ec7g.91,24.4382,24.7945,,9,along
q8ec7g.92,24.7945,24.9791,,9,to
q8ec7g.93,24.9791,25.1325,,9,your
q8ec7g.94,25.1325,25.6661,,9,left
q8ec7g.96,25.6661,31.7489,,,
q8ec7g.97,31.7489,32.2906,,11,and
q8ec7g.98,32.2906,32.9124,outbreath,,
q8ec7g.99,32.9124,33.8604,,,
q8ec7g.100,33.8604,34.4132,,11,slope
q8ec7g.101,34.4132,35.4836,,,
q8ec7g.102,35.4837,35.7306,,11,no
q8ec7g.104,35.7306,35.8097,,,
q8ec7g.105,35.8098,35.8411,,11,it
q8ec7g.106,35.8411,35.9222,,,
q8ec7g.107,35.9222,36.2299,,11,doesn't
q8ec7g.108,36.2299,36.4381,,11,matt--
q8ec7g.109,36.4381,36.4989,,,
q8ec7g.110,36.4989,36.6924,inbreath,,
q8ec7g.111,36.6924,36.8286,,,
q8ec7g.112,36.8287,37.2912,,11,erm
q8ec7g.114,37.2912,37.4403,outbreath,,
q8ec7g.115,37.4404,37.5933,,,
q8ec7g.116,37.5933,37.6338,lipsmack,,
q8ec7g.117,37.6338,37.6964,,,
q8ec7g.118,37.6965,37.9895,,11,about
q8ec7g.119,37.9895,39.8614,,,
q8ec7g.120,39.8614,40.6868,,11,six
q8ec7g.121,40.6868,41.4017,,11,centimetres
q8ec7g.122,41.4017,41.7278,,11,down
q8ec7g.124,41.7278,43.0784,,,
q8ec7g.125,43.0784,43.1024,lipsmack,,
q8ec7g.126,43.1024,44.0220,,,
q8ec7g.127,44.0220,44.1667,,13,yeah
q8ec7g.129,44.1668,44.4531,,13,straight
q8ec7g.130,44.4531,44.6132,,13,down
q8ec7g.132,44.6132,47.9354,,,
q8ec7g.133,47.9354,48.1155,phongesture,,
q8ec7g.134,48.1155,48.1353,,,
q8ec7g.135,48.1353,48.3451,,15,erm
q8ec7g.136,48.3451,48.6102,,,
q8ec7g.137,48.6102,49.3206,outbreath,,
q8ec7g.138,49.3206,49.4017,,,
q8ec7g.139,49.4018,49.9242,,15,er
q8ec7g.141,49.9242,50.4939,,,
q8ec7g.142,50.4939,50.5663,,15,you
q8ec7g.143,50.5663,51.0110,,15,should
q8ec7g.144,51.0110,51.2667,,15,be
q8ec7g.145,51.2668,51.6402,,15,about
q8ec7g.146,51.6402,52.0818,,,
q8ec7g.147,52.0818,52.5964,,15,three
q8ec7g.148,52.5964,53.3894,,15,centimetres
q8ec7g.149,53.3894,53.6918,,15,above
q8ec7g.150,53.6919,53.7889,,15,the
q8ec7g.151,53.7889,54.1095,,15,bottom
q8ec7g.152,54.1095,54.2737,,15,of
q8ec7g.153,54.2737,54.3371,,15,the
q8ec7g.154,54.3371,54.7354,,15,page
q8ec7g.156,54.7355,54.8536,lowamp,,
q8ec7g.157,54.8536,56.3427,,,
q8ec7g.158,56.3427,56.4036,lipsmack,,
q8ec7g.159,56.4036,56.5634,,,
q8ec7g.160,56.5634,56.9317,,17,and
q8ec7g.161,56.9317,57.3610,,,
q8ec7g.162,57.3610,57.5186,,17,do
q8ec7g.163,57.5186,57.6298,,17,you
q8ec7g.164,57.6298,57.9843,,17,have
q8ec7g.165,57.9843,58.0871,,17,a
q8ec7g.166,58.0871,58.4861,,17,tribal
q8ec7g.167,58.4861,58.9570,,17,settlement
q8ec7g.169,58.9570,59.0546,,,
q8ec7g.170,59.0546,59.3474,,17,no
q8ec7g.171,59.3475,59.4725,,17,you
q8ec7g.172,59.4725,59.6249,,17,don't
q8ec7g.174,59.6249,60.5222,,,
q8ec7g.175,60.5222,60.9640,,17,erm
q8ec7g.177,60.9641,61.4796,outbreath,,
q8ec7g.178,61.4796,61.6627,,,
q8ec7g.179,61.6628,61.8375,lipsmack,,
q8ec7g.180,61.8375,62.6336,,,
q8ec7g.181,62.6337,62.9069,,17,thr--
q8ec7g.182,62.9069,63.0023,,,
q8ec7g.183,63.0023,63.0621,phongesture,,
q8ec7g.184,63.0621,64.2610,,,
q8ec7g.185,64.2610,64.2743,phongesture,,
q8ec7g.186,64.2743,64.5510,,,
q8ec7g.187,64.5510,64.9148,,17,go
q8ec7g.188,64.9148,65.1256,outbreath,,
q8ec7g.189,65.1256,65.2815,,,
q8ec7g.190,65.2816,65.6397,,17,along
q8ec7g.191,65.6397,65.8401,,17,to
q8ec7g.192,65.8401,65.9505,,17,your
q8ec7g.193,65.9505,66.3788,,17,left
q8ec7g.194,66.3789,66.8091,,17,until
q8ec7g.195,66.8091,67.0525,,17,you're
q8ec7g.197,67.0525,67.6922,,17,directly
q8ec7g.198,67.6922,67.7469,lowamp,,
q8ec7g.199,67.7469,67.7743,,,
q8ec7g.200,67.7743,68.1281,,17,under
q8ec7g.201,68.1281,68.2206,,17,the
q8ec7g.202,68.2206,68.4687,,17,rope
q8ec7g.203,68.4687,68.9197,,17,bridge
q8ec7g.205,68.9197,71.5795,,,
q8ec7g.206,71.5795,71.8724,,19,okay
q8ec7g.208,71.8724,72.1226,,,
q8ec7g.209,72.1226,72.5627,,19,and
q8ec7g.210,72.5627,72.7496,,19,go
q8ec7g.211,72.7496,73.1750,,19,along
q8ec7g.212,73.1750,73.3000,lowamp,,
q8ec7g.213,73.3001,73.4267,,,
q8ec7g.214,73.4267,73.8461,,19,four
q8ec7g.215,73.8461,74.8278,,19,centimetres
q8ec7g.216,74.8278,74.9985,,19,to
q8ec7g.217,74.9986,75.1090,,19,your
q8ec7g.218,75.1090,75.4224,,19,left
q8ec7g.219,75.4224,75.6388,,19,again
q8ec7g.221,75.6388,79.6111,,,
q8ec7g.222,79.6112,80.1085,lipsmack,,
q8ec7g.223,80.1085,80.1652,,,
q8ec7g.224,80.1652,80.4641,,21,er
q8ec7g.226,80.4642,80.6956,,,
q8ec7g.227,80.6956,80.8434,,21,up
q8ec7g.228,80.8434,81.5689,,21,vertically
q8ec7g.230,81.5690,81.7012,,,
q8ec7g.231,81.7012,82.1403,,21,seven
q8ec7g.232,82.1403,82.9886,,21,centimetres
q8ec7g.233,82.9886,83.1498,,21,just
q8ec7g.234,83.1498,83.4882,,21,straight
q8ec7g.235,83.4882,83.5881,,21,up
q8ec7g.237,83.5881,85.5219,,,
q8ec7g.238,85.5219,86.0724,,21,and
q8ec7g.239,86.0724,86.7045,,,
q8ec7g.240,86.7045,87.1042,,21,curve
q8ec7g.241,87.1042,87.1724,,,
q8ec7g.242,87.1724,87.6310,,21,to
q8ec7g.243,87.6310,87.7777,outbreath,,
q8ec7g.244,87.7777,87.7973,,,
q8ec7g.245,87.7973,88.0834,,21,your
q8ec7g.246,88.0834,88.3829,,21,right
q8ec7g.247,88.3829,88.8549,,21,until
q8ec7g.248,88.8549,89.0057,,21,you
q8ec7g.249,89.0057,89.1833,,21,go
q8ec7g.250,89.1834,89.6792,,21,across
q8ec7g.251,89.6792,89.7204,,21,the
q8ec7g.252,89.7205,89.9519,,21,rope
q8ec7g.253,89.9519,90.2596,,21,bridge
q8ec7g.255,90.2596,90.3195,lowamp,,
q8ec7g.256,90.3195,92.9751,,,
q8ec7g.257,92.9751,93.4209,,21,and
q8ec7g.258,93.4210,93.4662,,,
q8ec7g.259,93.4662,93.5898,,21,go
q8ec7g.260,93.5898,93.9964,,21,across
q8ec7g.261,93.9964,94.0297,,21,the
q8ec7g.262,94.0297,94.2057,,21,rope
q8ec7g.263,94.2057,94.6218,,21,bridge
q8ec7g.265,94.6218,95.0574,,,
q8ec7g.266,95.0574,95.2683,,21,er
q8ec7g.268,95.2683,95.6755,,21,stop
q8ec7g.269,95.6755,95.7326,,21,at
