transaction_id,type,map_start_point,map_end_point,children
q3ec8.transaction.1,normal,1,2,"id(q3ec8.g.move.1)..id(q3ec8.g.move.2), id(q3ec8.f.move.3)..id(q3ec8.f.move.6.5), id(q3ec8.g.move.4.5)..id(q3ec8.g.move.8.5), id(q3ec8.f.move.7)..id(q3ec8.f.move.10.5), id(q3ec8.g.move.9)..id(q3ec8.g.move.12.5), id(q3ec8.f.move.11)..id(q3ec8.f.move.13.5), id(q3ec8.g.move.13)..id(q3ec8.g.move.15.5), id(q3ec8.f.move.14)..id(q3ec8.f.move.16.5), id(q3ec8.g.move.16)..id(q3ec8.g.move.18.5), id(q3ec8.f.move.17)"
q3ec8.transaction.2,normal,2,3,"id(q3ec8.g.move.19)..id(q3ec8.g.move.20.5), id(q3ec8.f.move.20)..id(q3ec8.f.move.21.5), id(q3ec8.g.move.21)..id(q3ec8.g.move.22.5), id(q3ec8.f.move.22)..id(q3ec8.f.move.23.5), id(q3ec8.g.move.23)..id(q3ec8.g.move.24.5), id(q3ec8.f.move.24), id(q3ec8.g.move.25)"
q3ec8.transaction.3,normal,3,4,"id(q3ec8.g.move.26)..id(q3ec8.g.move.28.5), id(q3ec8.f.move.28)..id(q3ec8.f.move.30.5), id(q3ec8.g.move.29)..id(q3ec8.g.move.31.5), id(q3ec8.f.move.31)..id(q3ec8.f.move.33.5), id(q3ec8.g.move.32)..id(q3ec8.g.move.34.5), id(q3ec8.f.move.34)..id(q3ec8.f.move.35.5), id(q3ec8.g.move.35)..id(q3ec8.g.move.36.5), id(q3ec8.f.move.36), id(q3ec8.g.move.37)"
q3ec8.transaction.4,normal,4,5,"id(q3ec8.g.move.38)..id(q3ec8.g.move.40.5), id(q3ec8.f.move.40)..id(q3ec8.f.move.42.5), id(q3ec8.g.move.41)..id(q3ec8.g.move.44.5), id(q3ec8.f.move.43)..id(q3ec8.f.move.45.5), id(q3ec8.g.move.45)..id(q3ec8.g.move.46.5), id(q3ec8.f.move.46)..id(q3ec8.f.move.48.5), id(q3ec8.g.move.47), id(q3ec8.f.move.49)..id(q3ec8.f.move.49.4), id(q3ec8.g.move.48)..id(q3ec8.g.move.51.5), id(q3ec8.f.move.49.9)..id(q3ec8.f.move.50)"
q3ec8.transaction.5,normal,5,6,"id(q3ec8.g.move.52), id(q3ec8.f.move.57.5), id(q3ec8.g.move.52.5)..id(q3ec8.g.move.58.5), id(q3ec8.f.move.58)..id(q3ec8.f.move.60.5), id(q3ec8.g.move.59)..id(q3ec8.g.move.61.5), id(q3ec8.f.move.61)"
q3ec8.transaction.6,normal,6,7,"id(q3ec8.g.move.62), id(q3ec8.f.move.63.5), id(q3ec8.g.move.62.5)..id(q3ec8.g.move.64.5), id(q3ec8.f.move.64)..id(q3ec8.f.move.65.5), id(q3ec8.g.move.65)..id(q3ec8.g.move.67.5), id(q3ec8.f.move.66)"
q3ec8.transaction.7,normal,7,8,"id(q3ec8.g.move.68), id(q3ec8.f.move.69)"
q3ec8.transaction.8,normal,8,9,"id(q3ec8.g.move.70)..id(q3ec8.g.move.73.5), id(q3ec8.f.move.72)..id(q3ec8.f.move.74.5), id(q3ec8.g.move.74)..id(q3ec8.g.move.77.5), id(q3ec8.f.move.75)..id(q3ec8.f.move.79.5), id(q3ec8.g.move.78)..id(q3ec8.g.move.79), id(q3ec8.f.move.80)..id(q3ec8.f.move.81.5), id(q3ec8.g.move.81)..id(q3ec8.g.move.83.5), id(q3ec8.f.move.82)..id(q3ec8.f.move.83)"
q3ec8.transaction.9,normal,9,10,"id(q3ec8.g.move.84), id(q3ec8.f.move.85.5), id(q3ec8.g.move.84.5)..id(q3ec8.g.move.86.5), id(q3ec8.f.move.86), id(q3ec8.g.move.87), id(q3ec8.f.move.88.5), id(q3ec8.g.move.88)..id(q3ec8.g.move.91.5), id(q3ec8.f.move.89)..id(q3ec8.f.move.91), id(q3ec8.g.move.92)..id(q3ec8.g.move.93.5), id(q3ec8.f.move.93)..id(q3ec8.f.move.95.5), id(q3ec8.g.move.94)..id(q3ec8.g.move.96.5), id(q3ec8.f.move.96)..id(q3ec8.f.move.100.5), id(q3ec8.g.move.97)..id(q3ec8.g.move.104.5), id(q3ec8.f.move.101)..id(q3ec8.f.move.104)"
q3ec8.transaction.10,normal,10,11,"id(q3ec8.g.move.105)..id(q3ec8.g.move.108.5), id(q3ec8.f.move.107)..id(q3ec8.f.move.110.5), id(q3ec8.g.move.109)..id(q3ec8.g.move.111.5), id(q3ec8.f.move.111)..id(q3ec8.f.move.112.5), id(q3ec8.g.move.112)..id(q3ec8.g.move.113.5), id(q3ec8.f.move.113), id(q3ec8.g.move.114)"
