transaction_id,type,map_start_point,map_end_point,children
q6ec6.transaction.1,normal,1,2,"id(q6ec6.g.move.1)..id(q6ec6.g.move.1.9), id(q6ec6.f.move.2), id(q6ec6.g.move.3.5), id(q6ec6.f.move.2.5)..id(q6ec6.f.move.5.5), id(q6ec6.g.move.4)..id(q6ec6.g.move.6.5), id(q6ec6.f.move.6)..id(q6ec6.f.move.7.5), id(q6ec6.g.move.7)..id(q6ec6.g.move.8.5), id(q6ec6.f.move.8)..id(q6ec6.f.move.11.5), id(q6ec6.g.move.9)..id(q6ec6.g.move.13.5), id(q6ec6.f.move.12)..id(q6ec6.f.move.13), id(q6ec6.g.move.14)"
q6ec6.transaction.2,normal,2,3,"id(q6ec6.g.move.15), id(q6ec6.f.move.16), id(q6ec6.g.move.17.5), id(q6ec6.f.move.16.5)..id(q6ec6.f.move.18.5), id(q6ec6.g.move.18), id(q6ec6.f.move.19)..id(q6ec6.f.move.21)"
q6ec6.transaction.3,normal,3,4,"id(q6ec6.g.move.22)..id(q6ec6.g.move.23.5), id(q6ec6.f.move.23)..id(q6ec6.f.move.24.5), id(q6ec6.g.move.24), id(q6ec6.f.move.25), id(q6ec6.g.move.25.5), id(q6ec6.f.move.26.5), id(q6ec6.g.move.26), id(q6ec6.f.move.27)..id(q6ec6.f.move.29)"
q6ec6.transaction.4,normal,4,5,"id(q6ec6.g.move.30)..id(q6ec6.g.move.33.5), id(q6ec6.f.move.32)..id(q6ec6.f.move.32.5), id(q6ec6.g.move.34)..id(q6ec6.g.move.34.4), id(q6ec6.f.move.33)..id(q6ec6.f.move.35.5), id(q6ec6.g.move.34.5)..id(q6ec6.g.move.35), id(q6ec6.f.move.36)..id(q6ec6.f.move.37.5), id(q6ec6.g.move.38.5), id(q6ec6.f.move.38)"
q6ec6.transaction.5,normal,5,6,"id(q6ec6.g.move.39)..id(q6ec6.g.move.40.5), id(q6ec6.f.move.40)..id(q6ec6.f.move.41.5), id(q6ec6.g.move.41)..id(q6ec6.g.move.42.5), id(q6ec6.f.move.42)..id(q6ec6.f.move.44.5), id(q6ec6.g.move.43)..id(q6ec6.g.move.45.5), id(q6ec6.f.move.45)..id(q6ec6.f.move.46.5), id(q6ec6.g.move.46)..id(q6ec6.g.move.49.5), id(q6ec6.f.move.47)..id(q6ec6.f.move.51.5), id(q6ec6.g.move.50)..id(q6ec6.g.move.52.5), id(q6ec6.f.move.52)..id(q6ec6.f.move.53.5), id(q6ec6.g.move.53)..id(q6ec6.g.move.54.5), id(q6ec6.f.move.54)"
q6ec6.transaction.6,normal,6,7,"id(q6ec6.g.move.55), id(q6ec6.f.move.56.5), id(q6ec6.g.move.55.5)..id(q6ec6.g.move.57.5), id(q6ec6.f.move.57)..id(q6ec6.f.move.59.5), id(q6ec6.g.move.58)..id(q6ec6.g.move.59.4), id(q6ec6.f.move.60), id(q6ec6.g.move.59.9)..id(q6ec6.g.move.60.5), id(q6ec6.f.move.61.5), id(q6ec6.g.move.61)..id(q6ec6.g.move.62.5), id(q6ec6.f.move.62)..id(q6ec6.f.move.64.5), id(q6ec6.g.move.63)..id(q6ec6.g.move.65.5), id(q6ec6.f.move.65)..id(q6ec6.f.move.66.5), id(q6ec6.g.move.66), id(q6ec6.f.move.67)"
q6ec6.transaction.7,normal,7,8,"id(q6ec6.g.move.68)..id(q6ec6.g.move.70.5), id(q6ec6.f.move.70)..id(q6ec6.f.move.72.5), id(q6ec6.g.move.71)..id(q6ec6.g.move.73.5), id(q6ec6.f.move.73)..id(q6ec6.f.move.74.5), id(q6ec6.g.move.74)..id(q6ec6.g.move.76.5), id(q6ec6.f.move.75)..id(q6ec6.f.move.76)"
q6ec6.transaction.8,normal,8,9,"id(q6ec6.g.move.77), id(q6ec6.f.move.78.5), id(q6ec6.g.move.77.5)..id(q6ec6.g.move.81.5), id(q6ec6.f.move.79)..id(q6ec6.f.move.81), id(q6ec6.g.move.82)..id(q6ec6.g.move.83.5), id(q6ec6.f.move.85.5), id(q6ec6.g.move.84)..id(q6ec6.g.move.86.5), id(q6ec6.f.move.86)..id(q6ec6.f.move.87.5), id(q6ec6.g.move.87)..id(q6ec6.g.move.88.5), id(q6ec6.f.move.88)..id(q6ec6.f.move.89.5), id(q6ec6.g.move.89), id(q6ec6.f.move.90)"
q6ec6.transaction.9,normal,9,10,"id(q6ec6.g.move.91)..id(q6ec6.g.move.92), id(q6ec6.f.move.93)"
q6ec6.transaction.10,normal,10,11,"id(q6ec6.g.move.94)..id(q6ec6.g.move.96.5), id(q6ec6.f.move.96), id(q6ec6.g.move.97)"
q6ec6.transaction.11,normal,11,12,"id(q6ec6.g.move.98)..id(q6ec6.g.move.98.4), id(q6ec6.f.move.99)..id(q6ec6.f.move.100.5), id(q6ec6.g.move.98.9)..id(q6ec6.g.move.101.5), id(q6ec6.f.move.101)..id(q6ec6.f.move.102.5), id(q6ec6.g.move.102)..id(q6ec6.g.move.104.5), id(q6ec6.f.move.103)..id(q6ec6.f.move.105.5), id(q6ec6.g.move.105), id(q6ec6.f.move.106)"
q6ec6.transaction.12,irrelevant,,,"id(q6ec6.f.move.107)..id(q6ec6.f.move.108.5), id(q6ec6.g.move.108), id(q6ec6.f.move.109), id(q6ec6.g.move.109.5), id(q6ec6.f.move.110.5), id(q6ec6.g.move.110), id(q6ec6.f.move.111)"
q6ec6.transaction.13,normal,12,13,"id(q6ec6.g.move.112)..id(q6ec6.g.move.114.5), id(q6ec6.f.move.113)..id(q6ec6.f.move.116.5), id(q6ec6.g.move.115)..id(q6ec6.g.move.117.5), id(q6ec6.f.move.117)"
q6ec6.transaction.14,normal,13,14,"id(q6ec6.g.move.118), id(q6ec6.f.move.119.5), id(q6ec6.g.move.118.5)..id(q6ec6.g.move.120.5), id(q6ec6.f.move.120)"
q6ec6.transaction.15,normal,14,15,"id(q6ec6.g.move.121), id(q6ec6.f.move.122)"
q6ec6.transaction.16,normal,15,16,"id(q6ec6.g.move.124), id(q6ec6.f.move.125), id(q6ec6.g.move.125.5), id(q6ec6.f.move.126.5), id(q6ec6.g.move.126), id(q6ec6.f.move.127)"
