transaction_id,type,map_start_point,map_end_point,children
q3ec4.transaction.1,normal,1,2,"id(q3ec4.f.move.1)..id(q3ec4.f.move.2.5), id(q3ec4.g.move.2), id(q3ec4.f.move.3), id(q3ec4.g.move.3.5), id(q3ec4.f.move.4.5), id(q3ec4.g.move.4)..id(q3ec4.g.move.5.5), id(q3ec4.f.move.5)..id(q3ec4.f.move.8.5), id(q3ec4.g.move.6)..id(q3ec4.g.move.9.5), id(q3ec4.f.move.9)..id(q3ec4.f.move.10.5), id(q3ec4.g.move.10)..id(q3ec4.g.move.11.5), id(q3ec4.f.move.11)..id(q3ec4.f.move.12.5), id(q3ec4.g.move.12)..id(q3ec4.g.move.13.5), id(q3ec4.f.move.13)..id(q3ec4.f.move.15.5), id(q3ec4.g.move.14)..id(q3ec4.g.move.15), id(q3ec4.f.move.16), id(q3ec4.g.move.16.5), id(q3ec4.f.move.18.5), id(q3ec4.g.move.17)"
q3ec4.transaction.2,normal,2,3,"id(q3ec4.g.move.18), id(q3ec4.f.move.19)"
q3ec4.transaction.3,normal,3,4,"id(q3ec4.g.move.20)..id(q3ec4.g.move.21.5), id(q3ec4.f.move.21)..id(q3ec4.f.move.23.5), id(q3ec4.g.move.22)..id(q3ec4.g.move.24.5), id(q3ec4.f.move.24)"
q3ec4.transaction.4,normal,4,5,"id(q3ec4.g.move.25), id(q3ec4.f.move.26.5), id(q3ec4.g.move.25.5)..id(q3ec4.g.move.28.5), id(q3ec4.f.move.27), id(q3ec4.g.move.29), id(q3ec4.f.move.30.5), id(q3ec4.g.move.29.5)..id(q3ec4.g.move.31.5), id(q3ec4.f.move.31)..id(q3ec4.f.move.32.5), id(q3ec4.g.move.32), id(q3ec4.f.move.33)"
q3ec4.transaction.5,normal,5,6,"id(q3ec4.g.move.34)..id(q3ec4.g.move.35.5), id(q3ec4.f.move.35), id(q3ec4.g.move.36), id(q3ec4.f.move.37.5), id(q3ec4.g.move.36.5)..id(q3ec4.g.move.40.5), id(q3ec4.f.move.38)..id(q3ec4.f.move.42.5), id(q3ec4.g.move.41)..id(q3ec4.g.move.42)"
q3ec4.transaction.6,normal,6,7,"id(q3ec4.f.move.43)..id(q3ec4.f.move.45.5), id(q3ec4.g.move.44)..id(q3ec4.g.move.47.5), id(q3ec4.f.move.46), id(q3ec4.g.move.48)..id(q3ec4.g.move.48.5), id(q3ec4.f.move.47)..id(q3ec4.f.move.50.5), id(q3ec4.g.move.49)..id(q3ec4.g.move.51.5), id(q3ec4.f.move.51)..id(q3ec4.f.move.52.5), id(q3ec4.g.move.52)..id(q3ec4.g.move.53.5), id(q3ec4.f.move.53)..id(q3ec4.f.move.55.5), id(q3ec4.g.move.54)..id(q3ec4.g.move.56.5), id(q3ec4.f.move.56)..id(q3ec4.f.move.58.5), id(q3ec4.g.move.57)..id(q3ec4.g.move.58), id(q3ec4.f.move.59)"
q3ec4.transaction.7,normal,7,8,"id(q3ec4.g.move.60)..id(q3ec4.g.move.62.5), id(q3ec4.f.move.62)..id(q3ec4.f.move.63.5), id(q3ec4.g.move.63)..id(q3ec4.g.move.64.5), id(q3ec4.f.move.64)..id(q3ec4.f.move.65.5), id(q3ec4.g.move.65)..id(q3ec4.g.move.66.5), id(q3ec4.f.move.66)"
q3ec4.transaction.8,review,7,8,"id(q3ec4.g.move.67)..id(q3ec4.g.move.68.5), id(q3ec4.f.move.68)..id(q3ec4.f.move.70.5), id(q3ec4.g.move.69)..id(q3ec4.g.move.72.5), id(q3ec4.f.move.71)..id(q3ec4.f.move.76.5), id(q3ec4.g.move.73)..id(q3ec4.g.move.76)"
q3ec4.transaction.9,normal,8,9,"id(q3ec4.g.move.78)..id(q3ec4.g.move.79.5), id(q3ec4.f.move.77)..id(q3ec4.f.move.79), id(q3ec4.g.move.80), id(q3ec4.f.move.82.5), id(q3ec4.g.move.80.5)..id(q3ec4.g.move.83.5), id(q3ec4.f.move.83)..id(q3ec4.f.move.85.5), id(q3ec4.g.move.84)..id(q3ec4.g.move.86.5), id(q3ec4.f.move.86)"
q3ec4.transaction.10,normal,9,10,"id(q3ec4.g.move.87)..id(q3ec4.g.move.89.5), id(q3ec4.f.move.89)..id(q3ec4.f.move.90.5), id(q3ec4.g.move.90), id(q3ec4.f.move.91)"
