transaction_id,type,map_start_point,map_end_point,children
q8ec5.transaction.1,normal,1,2,"id(q8ec5.g.move.1)..id(q8ec5.g.move.3.5), id(q8ec5.f.move.3)..id(q8ec5.f.move.4.5), id(q8ec5.g.move.4), id(q8ec5.f.move.5)..id(q8ec5.f.move.7.5), id(q8ec5.g.move.5.5)..id(q8ec5.g.move.7), id(q8ec5.f.move.8)..id(q8ec5.f.move.9), id(q8ec5.g.move.9.5), id(q8ec5.f.move.12.5), id(q8ec5.g.move.10)..id(q8ec5.g.move.13.5), id(q8ec5.f.move.13)..id(q8ec5.f.move.14.5), id(q8ec5.g.move.14)..id(q8ec5.g.move.15.5), id(q8ec5.f.move.15)..id(q8ec5.f.move.18.5), id(q8ec5.g.move.16), id(q8ec5.f.move.19)"
q8ec5.transaction.2,normal,2,3,"id(q8ec5.g.move.17)..id(q8ec5.g.move.22.5), id(q8ec5.f.move.21)..id(q8ec5.f.move.25.5), id(q8ec5.g.move.23)..id(q8ec5.g.move.26.5), id(q8ec5.f.move.26)..id(q8ec5.f.move.29.5), id(q8ec5.g.move.27)..id(q8ec5.g.move.29), id(q8ec5.f.move.30), id(q8ec5.g.move.30.5), id(q8ec5.f.move.31.5), id(q8ec5.g.move.31)..id(q8ec5.g.move.32.5), id(q8ec5.f.move.32)..id(q8ec5.f.move.33.5), id(q8ec5.g.move.33)..id(q8ec5.g.move.34.5), id(q8ec5.f.move.34)..id(q8ec5.f.move.35.5), id(q8ec5.g.move.35)..id(q8ec5.g.move.36.5), id(q8ec5.f.move.36), id(q8ec5.g.move.37), id(q8ec5.f.move.39.5), id(q8ec5.g.move.37.5)..id(q8ec5.g.move.40.5), id(q8ec5.f.move.40), id(q8ec5.g.move.41)..id(q8ec5.g.move.42.5), id(q8ec5.f.move.42), id(q8ec5.g.move.43)..id(q8ec5.g.move.48.5), id(q8ec5.f.move.46)..id(q8ec5.f.move.49.5), id(q8ec5.g.move.49)..id(q8ec5.g.move.50.5), id(q8ec5.f.move.50)..id(q8ec5.f.move.54.5), id(q8ec5.g.move.51)..id(q8ec5.g.move.55.5), id(q8ec5.f.move.55)..id(q8ec5.f.move.56.5), id(q8ec5.g.move.56)..id(q8ec5.g.move.57.5), id(q8ec5.f.move.57)..id(q8ec5.f.move.60.5), id(q8ec5.g.move.58)..id(q8ec5.g.move.61.5), id(q8ec5.f.move.61)..id(q8ec5.f.move.62.5), id(q8ec5.g.move.62)..id(q8ec5.g.move.63.5), id(q8ec5.f.move.63)..id(q8ec5.f.move.66.5), id(q8ec5.g.move.64)..id(q8ec5.g.move.67.5), id(q8ec5.f.move.67)..id(q8ec5.f.move.68.5), id(q8ec5.g.move.68)"
q8ec5.transaction.3,review,2,3,"id(q8ec5.f.move.69)..id(q8ec5.f.move.72.5), id(q8ec5.g.move.70)..id(q8ec5.g.move.73.5), id(q8ec5.f.move.73)..id(q8ec5.f.move.75.5), id(q8ec5.g.move.74)..id(q8ec5.g.move.77.5), id(q8ec5.f.move.76)..id(q8ec5.f.move.78.5), id(q8ec5.g.move.78)..id(q8ec5.g.move.79.5), id(q8ec5.f.move.79)..id(q8ec5.f.move.80.5), id(q8ec5.g.move.80), id(q8ec5.f.move.81)"
q8ec5.transaction.4,normal,3,4,"id(q8ec5.g.move.82)..id(q8ec5.g.move.83), id(q8ec5.f.move.84), id(q8ec5.g.move.84.5), id(q8ec5.f.move.85.5), id(q8ec5.g.move.85)..id(q8ec5.g.move.85.9), id(q8ec5.f.move.86)"
q8ec5.transaction.5,normal,4,5,"id(q8ec5.g.move.87)..id(q8ec5.g.move.88), id(q8ec5.f.move.89), id(q8ec5.g.move.89.5), id(q8ec5.f.move.93.5), id(q8ec5.g.move.90)"
q8ec5.transaction.6,normal,5,6,"id(q8ec5.g.move.91)..id(q8ec5.g.move.93), id(q8ec5.f.move.94), id(q8ec5.g.move.94.5), id(q8ec5.f.move.95.5), id(q8ec5.g.move.95), id(q8ec5.f.move.96), id(q8ec5.g.move.96.5), id(q8ec5.f.move.97.5), id(q8ec5.g.move.97)..id(q8ec5.g.move.98.5), id(q8ec5.f.move.98), id(q8ec5.g.move.99)..id(q8ec5.g.move.101), id(q8ec5.f.move.102.5), id(q8ec5.g.move.101.5)..id(q8ec5.g.move.102), id(q8ec5.f.move.103)..id(q8ec5.f.move.103.9)"
q8ec5.transaction.7,normal,6,7,"id(q8ec5.g.move.104)..id(q8ec5.g.move.105), id(q8ec5.f.move.106), id(q8ec5.g.move.106.5), id(q8ec5.f.move.108.5), id(q8ec5.g.move.107)..id(q8ec5.g.move.109.5), id(q8ec5.f.move.109)..id(q8ec5.f.move.110.5), id(q8ec5.g.move.110), id(q8ec5.f.move.111), id(q8ec5.g.move.111.5), id(q8ec5.f.move.113.5), id(q8ec5.g.move.112)..id(q8ec5.g.move.113), id(q8ec5.f.move.114), id(q8ec5.g.move.114.5), id(q8ec5.f.move.116.5), id(q8ec5.g.move.115)..id(q8ec5.g.move.117.5), id(q8ec5.f.move.117)..id(q8ec5.f.move.119.5), id(q8ec5.g.move.118)..id(q8ec5.g.move.120.5), id(q8ec5.f.move.120)..id(q8ec5.f.move.121.5), id(q8ec5.g.move.121)..id(q8ec5.g.move.122.5), id(q8ec5.f.move.122)..id(q8ec5.f.move.123.5), id(q8ec5.g.move.123), id(q8ec5.f.move.124), id(q8ec5.g.move.124.5), id(q8ec5.f.move.125.5), id(q8ec5.g.move.125), id(q8ec5.f.move.126)"
q8ec5.transaction.8,normal,7,8,"id(q8ec5.g.move.127)..id(q8ec5.g.move.128), id(q8ec5.f.move.129), id(q8ec5.g.move.129.5), id(q8ec5.f.move.131.5), id(q8ec5.g.move.130)"
q8ec5.transaction.9,normal,8,9,"id(q8ec5.g.move.131)..id(q8ec5.g.move.132.5), id(q8ec5.f.move.132)..id(q8ec5.f.move.133.5), id(q8ec5.g.move.133)..id(q8ec5.g.move.135.5), id(q8ec5.f.move.134)..id(q8ec5.f.move.139.5), id(q8ec5.g.move.136)..id(q8ec5.g.move.140.5), id(q8ec5.f.move.140)..id(q8ec5.f.move.142.5), id(q8ec5.g.move.141)..id(q8ec5.g.move.143.5), id(q8ec5.f.move.143)..id(q8ec5.f.move.146.5), id(q8ec5.g.move.144)..id(q8ec5.g.move.145.5), id(q8ec5.f.move.147)..id(q8ec5.f.move.148.5), id(q8ec5.g.move.146)..id(q8ec5.g.move.147.5), id(q8ec5.f.move.149), id(q8ec5.g.move.148)"
q8ec5.transaction.10,normal,9,10,"id(q8ec5.g.move.150)..id(q8ec5.g.move.152.5), id(q8ec5.f.move.152)..id(q8ec5.f.move.153.5), id(q8ec5.g.move.153)..id(q8ec5.g.move.154.5), id(q8ec5.f.move.154)..id(q8ec5.f.move.155.5), id(q8ec5.g.move.155), id(q8ec5.f.move.156), id(q8ec5.g.move.156.5), id(q8ec5.f.move.157.5), id(q8ec5.g.move.157)..id(q8ec5.g.move.158.5), id(q8ec5.f.move.158)..id(q8ec5.f.move.159.5), id(q8ec5.g.move.159)..id(q8ec5.g.move.161.5), id(q8ec5.f.move.160)..id(q8ec5.f.move.161), id(q8ec5.g.move.162)..id(q8ec5.g.move.163.5), id(q8ec5.f.move.164.5), id(q8ec5.g.move.164)..id(q8ec5.g.move.165.5), id(q8ec5.f.move.165)..id(q8ec5.f.move.166.5), id(q8ec5.g.move.166)..id(q8ec5.g.move.167.5), id(q8ec5.f.move.167), id(q8ec5.g.move.168)"
