transaction_id,type,map_start_point,map_end_point,children
q5ec7.transaction.1,normal,1,2,"id(q5ec7.g.move.1), id(q5ec7.f.move.2), id(q5ec7.g.move.2.5), id(q5ec7.f.move.3.5), id(q5ec7.g.move.3), id(q5ec7.f.move.4), id(q5ec7.g.move.4.5), id(q5ec7.f.move.5.5), id(q5ec7.g.move.5), id(q5ec7.f.move.6), id(q5ec7.g.move.6.5), id(q5ec7.f.move.7.5), id(q5ec7.g.move.7)..id(q5ec7.g.move.8.5), id(q5ec7.f.move.8)..id(q5ec7.f.move.9.5), id(q5ec7.g.move.9)..id(q5ec7.g.move.10.5), id(q5ec7.f.move.10)..id(q5ec7.f.move.11.5), id(q5ec7.g.move.11)..id(q5ec7.g.move.14.5), id(q5ec7.f.move.12)..id(q5ec7.f.move.13)"
q5ec7.transaction.2,normal,2,3,"id(q5ec7.g.move.15)..id(q5ec7.g.move.17.5), id(q5ec7.f.move.16)..id(q5ec7.f.move.18.5), id(q5ec7.g.move.18)..id(q5ec7.g.move.19.5), id(q5ec7.f.move.19)..id(q5ec7.f.move.20.5), id(q5ec7.g.move.20)..id(q5ec7.g.move.21.5), id(q5ec7.f.move.21)..id(q5ec7.f.move.22.5), id(q5ec7.g.move.22)..id(q5ec7.g.move.23.5), id(q5ec7.f.move.23)..id(q5ec7.f.move.24.5), id(q5ec7.g.move.24)..id(q5ec7.g.move.25.5), id(q5ec7.f.move.25)"
q5ec7.transaction.3,normal,3,4,"id(q5ec7.g.move.26)..id(q5ec7.g.move.27.5), id(q5ec7.f.move.27)..id(q5ec7.f.move.28.5), id(q5ec7.g.move.28)..id(q5ec7.g.move.29.5), id(q5ec7.f.move.29)"
q5ec7.transaction.4,normal,4,5,"id(q5ec7.g.move.30)..id(q5ec7.g.move.31.5), id(q5ec7.f.move.31)..id(q5ec7.f.move.32.5), id(q5ec7.g.move.32)..id(q5ec7.g.move.33.5), id(q5ec7.f.move.33)"
q5ec7.transaction.5,normal,5,6,"id(q5ec7.g.move.34)..id(q5ec7.g.move.35.5), id(q5ec7.f.move.35)..id(q5ec7.f.move.36.5), id(q5ec7.g.move.36)..id(q5ec7.g.move.37.5), id(q5ec7.f.move.37)..id(q5ec7.f.move.38.5), id(q5ec7.g.move.38)..id(q5ec7.g.move.39.5), id(q5ec7.f.move.39)..id(q5ec7.f.move.40.5), id(q5ec7.g.move.40)..id(q5ec7.g.move.42.5), id(q5ec7.f.move.41)..id(q5ec7.f.move.43.5), id(q5ec7.g.move.43)..id(q5ec7.g.move.44.5), id(q5ec7.f.move.44), id(q5ec7.g.move.45)"
q5ec7.transaction.6,normal,6,7,"id(q5ec7.g.move.46)..id(q5ec7.g.move.49.5), id(q5ec7.f.move.47)..id(q5ec7.f.move.51.5), id(q5ec7.g.move.50)..id(q5ec7.g.move.52.5), id(q5ec7.f.move.52)..id(q5ec7.f.move.53.5), id(q5ec7.g.move.53)..id(q5ec7.g.move.56.5), id(q5ec7.f.move.54)..id(q5ec7.f.move.56)"
q5ec7.transaction.7,normal,7,8,"id(q5ec7.g.move.57)..id(q5ec7.g.move.58.5), id(q5ec7.f.move.58)..id(q5ec7.f.move.59.5), id(q5ec7.g.move.59)..id(q5ec7.g.move.60.5), id(q5ec7.f.move.60)..id(q5ec7.f.move.61.5), id(q5ec7.g.move.61)..id(q5ec7.g.move.62.5), id(q5ec7.f.move.62)..id(q5ec7.f.move.63.5), id(q5ec7.g.move.63)..id(q5ec7.g.move.64.5), id(q5ec7.f.move.64)"
q5ec7.transaction.8,normal,8,9,id(q5ec7.g.move.65)..id(q5ec7.g.move.66)
q5ec7.transaction.9,review,7,8,"id(q5ec7.f.move.67)..id(q5ec7.f.move.69.5), id(q5ec7.g.move.69)..id(q5ec7.g.move.70.5), id(q5ec7.f.move.70)..id(q5ec7.f.move.72.5), id(q5ec7.g.move.71)..id(q5ec7.g.move.74.5), id(q5ec7.f.move.73)..id(q5ec7.f.move.75.5), id(q5ec7.g.move.75)..id(q5ec7.g.move.77.5), id(q5ec7.f.move.76)..id(q5ec7.f.move.78.5), id(q5ec7.g.move.78)..id(q5ec7.g.move.79.5), id(q5ec7.f.move.79)..id(q5ec7.f.move.80.5), id(q5ec7.g.move.80)..id(q5ec7.g.move.81.5), id(q5ec7.f.move.81)..id(q5ec7.f.move.82.5), id(q5ec7.g.move.82)..id(q5ec7.g.move.83.5), id(q5ec7.f.move.83)..id(q5ec7.f.move.84.5), id(q5ec7.g.move.84), id(q5ec7.f.move.85)..id(q5ec7.f.move.87), id(q5ec7.g.move.87.5), id(q5ec7.f.move.88.5), id(q5ec7.g.move.88)..id(q5ec7.g.move.89.5), id(q5ec7.f.move.89)..id(q5ec7.f.move.90.5), id(q5ec7.g.move.90), id(q5ec7.f.move.91)"
q5ec7.transaction.10,normal,8,9,"id(q5ec7.g.move.92)..id(q5ec7.g.move.93.5), id(q5ec7.f.move.93), id(q5ec7.g.move.94), id(q5ec7.f.move.95.5), id(q5ec7.g.move.94.5)..id(q5ec7.g.move.95), id(q5ec7.f.move.96), id(q5ec7.g.move.96.5), id(q5ec7.f.move.97.5), id(q5ec7.g.move.97)..id(q5ec7.g.move.98.5), id(q5ec7.f.move.98)..id(q5ec7.f.move.99.5), id(q5ec7.g.move.99)..id(q5ec7.g.move.100.5), id(q5ec7.f.move.100)"
q5ec7.transaction.11,normal,9,10,"id(q5ec7.g.move.101)..id(q5ec7.g.move.102), id(q5ec7.f.move.103)"
q5ec7.transaction.12,normal,10,11,"id(q5ec7.g.move.104)..id(q5ec7.g.move.106.5), id(q5ec7.f.move.106)..id(q5ec7.f.move.108.5), id(q5ec7.g.move.107)..id(q5ec7.g.move.109.5), id(q5ec7.f.move.109)..id(q5ec7.f.move.110.5), id(q5ec7.g.move.110)..id(q5ec7.g.move.111.5), id(q5ec7.f.move.111)..id(q5ec7.f.move.112.5), id(q5ec7.g.move.112)..id(q5ec7.g.move.113.5), id(q5ec7.f.move.113)..id(q5ec7.f.move.114.5), id(q5ec7.g.move.114)..id(q5ec7.g.move.115.5), id(q5ec7.f.move.115)..id(q5ec7.f.move.116.5), id(q5ec7.g.move.116)..id(q5ec7.g.move.119.5), id(q5ec7.f.move.117)..id(q5ec7.f.move.118.5), id(q5ec7.g.move.120)..id(q5ec7.g.move.121.5), id(q5ec7.f.move.119)..id(q5ec7.f.move.122.5), id(q5ec7.g.move.122)..id(q5ec7.g.move.123.5), id(q5ec7.f.move.123)..id(q5ec7.f.move.124.5), id(q5ec7.g.move.124)..id(q5ec7.g.move.125.5), id(q5ec7.f.move.125)..id(q5ec7.f.move.126.5), id(q5ec7.g.move.126), id(q5ec7.f.move.127)"
q5ec7.transaction.13,normal,11,12,"id(q5ec7.g.move.128)..id(q5ec7.g.move.129.5), id(q5ec7.f.move.129)"
q5ec7.transaction.14,normal,12,13,"id(q5ec7.g.move.130)..id(q5ec7.g.move.132.5), id(q5ec7.f.move.132)..id(q5ec7.f.move.134.5), id(q5ec7.g.move.133)..id(q5ec7.g.move.135.5), id(q5ec7.f.move.135)..id(q5ec7.f.move.136.5), id(q5ec7.g.move.136)..id(q5ec7.g.move.137.5), id(q5ec7.f.move.137)..id(q5ec7.f.move.138.5), id(q5ec7.g.move.138)..id(q5ec7.g.move.139.5), id(q5ec7.f.move.139)..id(q5ec7.f.move.140.5), id(q5ec7.g.move.140)..id(q5ec7.g.move.141.5), id(q5ec7.f.move.141)"
q5ec7.transaction.15,normal,13,14,"id(q5ec7.g.move.142), id(q5ec7.f.move.143.5), id(q5ec7.g.move.142.5)..id(q5ec7.g.move.144.5), id(q5ec7.f.move.144)"
q5ec7.transaction.16,normal,14,15,"id(q5ec7.g.move.145), id(q5ec7.f.move.146), id(q5ec7.g.move.146.5), id(q5ec7.f.move.147.5), id(q5ec7.g.move.147)..id(q5ec7.g.move.148.5), id(q5ec7.f.move.148)..id(q5ec7.f.move.149.5), id(q5ec7.g.move.149)..id(q5ec7.g.move.150.5), id(q5ec7.f.move.150)..id(q5ec7.f.move.151.5), id(q5ec7.g.move.151)..id(q5ec7.g.move.152.5), id(q5ec7.f.move.152), id(q5ec7.g.move.153)"
