transaction_id,type,map_start_point,map_end_point,children
q6ec5.transaction.1,normal,1,2,"id(q6ec5.g.move.1)..id(q6ec5.g.move.3.5), id(q6ec5.f.move.3)..id(q6ec5.f.move.4.5), id(q6ec5.g.move.4), id(q6ec5.f.move.5), id(q6ec5.g.move.5.5), id(q6ec5.f.move.7.5), id(q6ec5.g.move.6)..id(q6ec5.g.move.7), id(q6ec5.f.move.8)..id(q6ec5.f.move.9), id(q6ec5.g.move.9.5), id(q6ec5.f.move.11.5), id(q6ec5.g.move.10)..id(q6ec5.g.move.11), id(q6ec5.f.move.12)"
q6ec5.transaction.2,normal,2,3,"id(q6ec5.g.move.13)..id(q6ec5.g.move.14.5), id(q6ec5.f.move.14)..id(q6ec5.f.move.15.5), id(q6ec5.g.move.15)..id(q6ec5.g.move.18.5), id(q6ec5.f.move.16)..id(q6ec5.f.move.17.5), id(q6ec5.g.move.19), id(q6ec5.f.move.18)"
q6ec5.transaction.3,normal,3,4,"id(q6ec5.g.move.19.9)..id(q6ec5.g.move.20.5), id(q6ec5.f.move.20)..id(q6ec5.f.move.21.5), id(q6ec5.g.move.21), id(q6ec5.f.move.22)"
q6ec5.transaction.4,normal,4,5,"id(q6ec5.g.move.23)..id(q6ec5.g.move.25.5), id(q6ec5.f.move.25)..id(q6ec5.f.move.27.5), id(q6ec5.g.move.26)..id(q6ec5.g.move.27), id(q6ec5.f.move.28)"
q6ec5.transaction.5,normal,5,6,"id(q6ec5.g.move.29), id(q6ec5.f.move.30)"
q6ec5.transaction.6,normal,6,7,"id(q6ec5.g.move.31)..id(q6ec5.g.move.32.5), id(q6ec5.f.move.32)..id(q6ec5.f.move.33.5), id(q6ec5.g.move.33), id(q6ec5.f.move.34), id(q6ec5.g.move.34.5), id(q6ec5.f.move.36.5), id(q6ec5.g.move.35)..id(q6ec5.g.move.38.5), id(q6ec5.f.move.37)..id(q6ec5.f.move.39.5), id(q6ec5.g.move.39)..id(q6ec5.g.move.40.5), id(q6ec5.f.move.40)..id(q6ec5.f.move.41.5), id(q6ec5.g.move.41)..id(q6ec5.g.move.42.5), id(q6ec5.f.move.42)..id(q6ec5.f.move.44.5), id(q6ec5.g.move.43)..id(q6ec5.g.move.44), id(q6ec5.f.move.45)"
q6ec5.transaction.7,normal,7,8,"id(q6ec5.g.move.46)..id(q6ec5.g.move.49.5), id(q6ec5.f.move.48)..id(q6ec5.f.move.50.5), id(q6ec5.g.move.50), id(q6ec5.f.move.51), id(q6ec5.g.move.52.5), id(q6ec5.f.move.53.5), id(q6ec5.g.move.53)..id(q6ec5.g.move.54.5), id(q6ec5.f.move.54)..id(q6ec5.f.move.55.5), id(q6ec5.g.move.55)..id(q6ec5.g.move.57.5), id(q6ec5.f.move.56)..id(q6ec5.f.move.61.5), id(q6ec5.g.move.58)..id(q6ec5.g.move.61), id(q6ec5.f.move.62), id(q6ec5.g.move.62.5), id(q6ec5.f.move.65.5), id(q6ec5.g.move.63)..id(q6ec5.g.move.67.5), id(q6ec5.f.move.66)..id(q6ec5.f.move.70.5), id(q6ec5.g.move.68)..id(q6ec5.g.move.70.9), id(q6ec5.f.move.71), id(q6ec5.g.move.71.5), id(q6ec5.f.move.72.5), id(q6ec5.g.move.72)..id(q6ec5.g.move.73.5), id(q6ec5.f.move.73)..id(q6ec5.f.move.74.5), id(q6ec5.g.move.74)..id(q6ec5.g.move.75.5), id(q6ec5.f.move.75)..id(q6ec5.f.move.76.5), id(q6ec5.g.move.76)..id(q6ec5.g.move.77.5), id(q6ec5.f.move.77)..id(q6ec5.f.move.78.5), id(q6ec5.g.move.78)..id(q6ec5.g.move.79.5), id(q6ec5.f.move.79), id(q6ec5.g.move.80)"
q6ec5.transaction.8,normal,8,9,"id(q6ec5.g.move.81)..id(q6ec5.g.move.83.5), id(q6ec5.f.move.82)..id(q6ec5.f.move.85.5), id(q6ec5.g.move.84)..id(q6ec5.g.move.85), id(q6ec5.f.move.86)"
q6ec5.transaction.9,normal,9,10,"id(q6ec5.g.move.87)..id(q6ec5.g.move.88.5), id(q6ec5.f.move.88)"
q6ec5.transaction.10,normal,10,11,"id(q6ec5.g.move.89)..id(q6ec5.g.move.90.5), id(q6ec5.f.move.90)"
q6ec5.transaction.11,normal,11,12,"id(q6ec5.g.move.91)..id(q6ec5.g.move.94.5), id(q6ec5.f.move.92)..id(q6ec5.f.move.95.5), id(q6ec5.g.move.95)..id(q6ec5.g.move.96.5), id(q6ec5.f.move.96)..id(q6ec5.f.move.97.5), id(q6ec5.g.move.97), id(q6ec5.f.move.98)..id(q6ec5.f.move.99), id(q6ec5.g.move.99.5), id(q6ec5.f.move.101.5), id(q6ec5.g.move.100)..id(q6ec5.g.move.103), id(q6ec5.f.move.102)"
q6ec5.transaction.12,normal,12,13,"id(q6ec5.g.move.104)..id(q6ec5.g.move.105.5), id(q6ec5.f.move.105), id(q6ec5.g.move.106), id(q6ec5.f.move.108.5), id(q6ec5.g.move.107.5)..id(q6ec5.g.move.111.5), id(q6ec5.f.move.109)..id(q6ec5.f.move.111), id(q6ec5.g.move.112)"
q6ec5.transaction.13,normal,13,14,"id(q6ec5.g.move.113)..id(q6ec5.g.move.114.5), id(q6ec5.f.move.114)..id(q6ec5.f.move.115.5), id(q6ec5.g.move.115)..id(q6ec5.g.move.117.5), id(q6ec5.f.move.116)..id(q6ec5.f.move.118.5), id(q6ec5.g.move.118), id(q6ec5.f.move.119), id(q6ec5.g.move.119.5), id(q6ec5.f.move.120.5), id(q6ec5.g.move.120)..id(q6ec5.g.move.121.5), id(q6ec5.f.move.121)..id(q6ec5.f.move.122.5), id(q6ec5.g.move.122), id(q6ec5.f.move.123), id(q6ec5.f.move.123.4)..id(q6ec5.f.move.123.9)"
q6ec5.transaction.14,normal,14,15,"id(q6ec5.g.move.124)..id(q6ec5.g.move.125.5), id(q6ec5.f.move.125)..id(q6ec5.f.move.126.5), id(q6ec5.g.move.126)..id(q6ec5.g.move.127.5), id(q6ec5.f.move.127), id(q6ec5.g.move.128)"
q6ec5.transaction.15,normal,15,16,id(q6ec5.g.move.129)
q6ec5.transaction.16,normal,16,17,"id(q6ec5.g.move.130)..id(q6ec5.g.move.131.5), id(q6ec5.f.move.131)..id(q6ec5.f.move.133.5), id(q6ec5.g.move.132)..id(q6ec5.g.move.134.5), id(q6ec5.f.move.134)..id(q6ec5.f.move.136.5), id(q6ec5.g.move.135)..id(q6ec5.g.move.136), id(q6ec5.f.move.137)..id(q6ec5.f.move.138), id(q6ec5.g.move.138.5), id(q6ec5.f.move.139.5), id(q6ec5.g.move.139)..id(q6ec5.g.move.140.5), id(q6ec5.f.move.140)..id(q6ec5.f.move.141.5), id(q6ec5.g.move.141)..id(q6ec5.g.move.143.5), id(q6ec5.f.move.142)..id(q6ec5.f.move.145.5), id(q6ec5.g.move.144)..id(q6ec5.g.move.145), id(q6ec5.f.move.146)..id(q6ec5.f.move.147), id(q6ec5.g.move.147.5), id(q6ec5.f.move.151)..id(q6ec5.f.move.152.5), id(q6ec5.g.move.148)..id(q6ec5.g.move.151.5), id(q6ec5.f.move.153)..id(q6ec5.f.move.153.5), id(q6ec5.g.move.152)..id(q6ec5.g.move.154.5), id(q6ec5.f.move.154)..id(q6ec5.f.move.155.5), id(q6ec5.g.move.155), id(q6ec5.f.move.156)"
q6ec5.transaction.17,normal,17,18,"id(q6ec5.g.move.157)..id(q6ec5.g.move.160.5), id(q6ec5.f.move.159)..id(q6ec5.f.move.161.5), id(q6ec5.g.move.161)..id(q6ec5.g.move.162.5), id(q6ec5.f.move.162)..id(q6ec5.f.move.163.5), id(q6ec5.g.move.163)..id(q6ec5.g.move.164.5), id(q6ec5.f.move.164)..id(q6ec5.f.move.166.5), id(q6ec5.g.move.165)..id(q6ec5.g.move.168.5), id(q6ec5.f.move.167)..id(q6ec5.f.move.169.5), id(q6ec5.g.move.169), id(q6ec5.f.move.170)"
q6ec5.transaction.18,normal,18,19,"id(q6ec5.g.move.171)..id(q6ec5.g.move.172.5), id(q6ec5.f.move.172), id(q6ec5.f.move.172.4)..id(q6ec5.f.move.172.9)"
q6ec5.transaction.19,review,17,18,"id(q6ec5.g.move.173)..id(q6ec5.g.move.177.5), id(q6ec5.f.move.175)..id(q6ec5.f.move.178.5), id(q6ec5.g.move.178)..id(q6ec5.g.move.179.5), id(q6ec5.f.move.179)..id(q6ec5.f.move.180.5), id(q6ec5.g.move.180)..id(q6ec5.g.move.181.5), id(q6ec5.f.move.181), id(q6ec5.f.move.181.4)..id(q6ec5.f.move.181.9)"
q6ec5.transaction.20,review,18,19,"id(q6ec5.g.move.182)..id(q6ec5.g.move.183.5), id(q6ec5.f.move.183)..id(q6ec5.f.move.184.5), id(q6ec5.g.move.184)..id(q6ec5.g.move.185.5), id(q6ec5.f.move.185)..id(q6ec5.f.move.186.5), id(q6ec5.g.move.186)..id(q6ec5.g.move.187.5), id(q6ec5.f.move.187)..id(q6ec5.f.move.188.5), id(q6ec5.g.move.188)..id(q6ec5.g.move.190.5), id(q6ec5.f.move.189)..id(q6ec5.f.move.191.5), id(q6ec5.g.move.191)..id(q6ec5.g.move.192.5), id(q6ec5.f.move.192)..id(q6ec5.f.move.193.5), id(q6ec5.g.move.193)..id(q6ec5.g.move.194.5), id(q6ec5.f.move.194), id(q6ec5.g.move.195), id(q6ec5.f.move.196.5), id(q6ec5.g.move.196), id(q6ec5.f.move.197)"
