move_id,label,rep,children
q6nc7.g.move.0.5,,none,id(q6nc7g.1)
q6nc7.g.move.1,ready,none,id(q6nc7g.2)..id(q6nc7g.5)
q6nc7.g.move.1.5,,none,id(q6nc7g.7)..id(q6nc7g.9)
q6nc7.g.move.2,query_yn,none,id(q6nc7g.10)..id(q6nc7g.16)
q6nc7.g.move.4,query_yn,none,id(q6nc7g.18)..id(q6nc7g.22)
q6nc7.g.move.5.5,,none,id(q6nc7g.24)..id(q6nc7g.25)
q6nc7.g.move.6,ready,none,id(q6nc7g.26)..id(q6nc7g.29)
q6nc7.g.move.6.5,,none,id(q6nc7g.31)
q6nc7.g.move.7,query_yn,none,id(q6nc7g.32)..id(q6nc7g.49)
q6nc7.g.move.8.5,,none,id(q6nc7g.50)
q6nc7.g.move.9,query_yn,none,id(q6nc7g.51)..id(q6nc7g.60)
q6nc7.g.move.11.5,,none,id(q6nc7g.62)
q6nc7.g.move.12,acknowledge,none,id(q6nc7g.63)..id(q6nc7g.66)
q6nc7.g.move.13.5,,none,id(q6nc7g.68)
q6nc7.g.move.14,reply_n,none,id(q6nc7g.69)
q6nc7.g.move.14.5,,none,id(q6nc7g.71)..id(q6nc7g.72)
q6nc7.g.move.15,align,none,id(q6nc7g.73)..id(q6nc7g.81)
q6nc7.g.move.16.5,,none,id(q6nc7g.83)
q6nc7.g.move.17,query_yn,none,id(q6nc7g.84)..id(q6nc7g.94)
q6nc7.g.move.18.5,,none,id(q6nc7g.96)
q6nc7.g.move.19,acknowledge,none,id(q6nc7g.97)..id(q6nc7g.99)
q6nc7.g.move.19.5,,none,id(q6nc7g.101)..id(q6nc7g.102)
q6nc7.g.move.20,ready,none,id(q6nc7g.103)
q6nc7.g.move.21,explain,none,id(q6nc7g.104)..id(q6nc7g.116)
q6nc7.g.move.22,ready,none,id(q6nc7g.118)
q6nc7.g.move.23,instruct,none,id(q6nc7g.119)..id(q6nc7g.127)
q6nc7.g.move.24.5,,none,id(q6nc7g.128)
q6nc7.g.move.25,instruct,none,id(q6nc7g.129)..id(q6nc7g.175)
q6nc7.g.move.26.5,,none,id(q6nc7g.176)
q6nc7.g.move.27,clarify,none,id(q6nc7g.177)..id(q6nc7g.187)
q6nc7.g.move.28,align,none,id(q6nc7g.189)
q6nc7.g.move.30.5,,none,id(q6nc7g.191)..id(q6nc7g.192)
q6nc7.g.move.31,reply_y,none,id(q6nc7g.193)
q6nc7.g.move.32,clarify,none,id(q6nc7g.195)..id(q6nc7g.215)
q6nc7.g.move.35.5,,none,id(q6nc7g.217)..id(q6nc7g.218)
q6nc7.g.move.36,reply_y,none,id(q6nc7g.219)..id(q6nc7g.222)
q6nc7.g.move.38.5,,none,id(q6nc7g.224)
q6nc7.g.move.39,clarify,none,id(q6nc7g.225)..id(q6nc7g.228)
q6nc7.g.move.40,align,none,id(q6nc7g.229)..id(q6nc7g.249)
q6nc7.g.move.41.5,,none,id(q6nc7g.251)..id(q6nc7g.253)
q6nc7.g.move.42,clarify,none,id(q6nc7g.254)..id(q6nc7g.259)
q6nc7.g.move.42.5,,none,id(q6nc7g.261)
q6nc7.g.move.43,align,none,id(q6nc7g.262)
q6nc7.g.move.43.5,,none,id(q6nc7g.264)
q6nc7.g.move.44,clarify,none,id(q6nc7g.265)..id(q6nc7g.268)
q6nc7.g.move.46.5,,none,id(q6nc7g.270)
q6nc7.g.move.47,ready,none,id(q6nc7g.271)..id(q6nc7g.273)
q6nc7.g.move.47.5,,none,id(q6nc7g.274)
q6nc7.g.move.48,align,none,id(q6nc7g.275)..id(q6nc7g.282)
q6nc7.g.move.49.5,,none,id(q6nc7g.284)..id(q6nc7g.285)
q6nc7.g.move.50,ready,none,id(q6nc7g.286)
q6nc7.g.move.51,align,none,id(q6nc7g.288)..id(q6nc7g.293)
