move_id,label,rep,children
q4nc5.g.move.1,ready,none,id(q4nc5g.1)
q4nc5.g.move.1.5,,none,id(q4nc5g.3)
q4nc5.g.move.2,explain,none,id(q4nc5g.4)..id(q4nc5g.23)
q4nc5.g.move.3.5,,none,id(q4nc5g.25)..id(q4nc5g.26)
q4nc5.g.move.4,ready,none,id(q4nc5g.27)
q4nc5.g.move.4.5,,none,id(q4nc5g.29)
q4nc5.g.move.5,query_yn,none,id(q4nc5g.30)..id(q4nc5g.36)
q4nc5.g.move.7,query_yn,none,id(q4nc5g.38)..id(q4nc5g.44)
q4nc5.g.move.9,acknowledge,none,id(q4nc5g.46)..id(q4nc5g.49)
q4nc5.g.move.9.5,,none,id(q4nc5g.51)..id(q4nc5g.52)
q4nc5.g.move.10,ready,none,id(q4nc5g.53)..id(q4nc5g.57)
q4nc5.g.move.11,instruct,none,id(q4nc5g.59)..id(q4nc5g.62)
q4nc5.g.move.11.2,align,none,id(q4nc5g.64)..id(q4nc5g.66)
q4nc5.g.move.11.4,,none,id(q4nc5g.67)
q4nc5.g.move.11.9,instruct,none,id(q4nc5g.68)..id(q4nc5g.72)
q4nc5.g.move.12.5,,none,id(q4nc5g.73)
q4nc5.g.move.13,align,none,id(q4nc5g.74)
q4nc5.g.move.14.5,,none,id(q4nc5g.76)..id(q4nc5g.77)
q4nc5.g.move.15,reply_y,none,id(q4nc5g.78)
q4nc5.g.move.17,uncodable,none,id(q4nc5g.80)..id(q4nc5g.84)
q4nc5.g.move.17.4,,none,id(q4nc5g.86)..id(q4nc5g.88)
q4nc5.g.move.17.9,explain,none,id(q4nc5g.89)..id(q4nc5g.100)
q4nc5.g.move.18.5,,none,id(q4nc5g.102)
q4nc5.g.move.19,ready,none,id(q4nc5g.103)
q4nc5.g.move.20.5,,none,id(q4nc5g.104)
q4nc5.g.move.21,acknowledge,none,id(q4nc5g.105)..id(q4nc5g.107)
q4nc5.g.move.22.5,,none,id(q4nc5g.108)
q4nc5.g.move.23,reply_y,none,id(q4nc5g.109)..id(q4nc5g.113)
q4nc5.g.move.24.5,,none,id(q4nc5g.115)..id(q4nc5g.116)
q4nc5.g.move.25,ready,none,id(q4nc5g.117)..id(q4nc5g.120)
q4nc5.g.move.26,instruct,none,id(q4nc5g.121)..id(q4nc5g.179)
q4nc5.g.move.27,ready,none,id(q4nc5g.180)
q4nc5.g.move.28,instruct,none,id(q4nc5g.182)..id(q4nc5g.185)
q4nc5.g.move.29,align,none,id(q4nc5g.187)
q4nc5.g.move.31,instruct,none,id(q4nc5g.189)..id(q4nc5g.204)
q4nc5.g.move.32.5,,none,id(q4nc5g.206)
q4nc5.g.move.33,align,none,id(q4nc5g.207)..id(q4nc5g.214)
q4nc5.g.move.33.5,,none,id(q4nc5g.215)
q4nc5.g.move.34,reply_y,none,id(q4nc5g.216)
q4nc5.g.move.34.5,,none,id(q4nc5g.218)
q4nc5.g.move.35,clarify,none,id(q4nc5g.219)..id(q4nc5g.249)
q4nc5.g.move.36,align,none,id(q4nc5g.251)..id(q4nc5g.268)
q4nc5.g.move.37.5,,none,id(q4nc5g.270)
q4nc5.g.move.38,instruct,none,id(q4nc5g.271)..id(q4nc5g.276)
q4nc5.g.move.39.5,,none,id(q4nc5g.277)..id(q4nc5g.278)
q4nc5.g.move.40,reply_y,none,id(q4nc5g.279)
q4nc5.g.move.41.5,,none,id(q4nc5g.281)
q4nc5.g.move.42,reply_y,none,id(q4nc5g.282)..id(q4nc5g.283)
q4nc5.g.move.42.5,,none,id(q4nc5g.285)
q4nc5.g.move.43,instruct,none,id(q4nc5g.286)..id(q4nc5g.295)
q4nc5.g.move.43.5,,none,id(q4nc5g.297)
q4nc5.g.move.44,align,none,id(q4nc5g.298)
q4nc5.g.move.45.5,,none,id(q4nc5g.300)
q4nc5.g.move.46,ready,none,id(q4nc5g.301)..id(q4nc5g.302)
q4nc5.g.move.47,reply_w,none,id(q4nc5g.304)..id(q4nc5g.315)
q4nc5.g.move.48.5,,none,id(q4nc5g.316)
q4nc5.g.move.49,reply_y,other,id(q4nc5g.317)..id(q4nc5g.318)
q4nc5.g.move.50.5,,none,id(q4nc5g.320)..id(q4nc5g.321)
q4nc5.g.move.51,query_yn,none,id(q4nc5g.322)..id(q4nc5g.334)
q4nc5.g.move.54.5,,none,id(q4nc5g.335)
q4nc5.g.move.55,query_w,none,id(q4nc5g.336)..id(q4nc5g.338)
q4nc5.g.move.57.5,,none,id(q4nc5g.339)
q4nc5.g.move.58,acknowledge,none,id(q4nc5g.340)..id(q4nc5g.345)
q4nc5.g.move.59.5,,none,id(q4nc5g.346)
q4nc5.g.move.60,acknowledge,none,id(q4nc5g.347)..id(q4nc5g.349)
q4nc5.g.move.60.5,,none,id(q4nc5g.350)
q4nc5.g.move.61,align,none,id(q4nc5g.351)
q4nc5.g.move.62.5,,none,id(q4nc5g.353)
