start,end,id,type
0.0000,38.2230,q7ec3.f.gaze.2,id(gtype_down)
38.2230,39.7867,q7ec3.f.gaze.3,id(gtype_up)
39.7867,77.9076,q7ec3.f.gaze.4,id(gtype_down)
77.9076,78.5219,q7ec3.f.gaze.5,id(gtype_up)
78.5219,108.5285,q7ec3.f.gaze.6,id(gtype_down)
108.5285,109.7861,q7ec3.f.gaze.7,id(gtype_up)
109.7861,117.2901,q7ec3.f.gaze.8,id(gtype_down)
117.2901,118.0664,q7ec3.f.gaze.9,id(gtype_up)
118.0664,155.8194,q7ec3.f.gaze.10,id(gtype_down)
155.8194,157.6277,q7ec3.f.gaze.11,id(gtype_up)
157.6277,163.3760,q7ec3.f.gaze.12,id(gtype_down)
163.3760,167.2643,q7ec3.f.gaze.13,id(gtype_up)
167.2643,243.8694,q7ec3.f.gaze.14,id(gtype_down)
243.8694,247.2770,q7ec3.f.gaze.15,id(gtype_up)
247.2770,254.1295,q7ec3.f.gaze.16,id(gtype_down)
254.1295,256.0195,q7ec3.f.gaze.17,id(gtype_off)
256.0195,263.3790,q7ec3.f.gaze.19,id(gtype_down)
263.3790,265.1576,q7ec3.f.gaze.20,id(gtype_up)
265.1576,291.3574,q7ec3.f.gaze.21,id(gtype_down)
291.3574,293.6932,q7ec3.f.gaze.22,id(gtype_up)
293.6932,302.6144,q7ec3.f.gaze.23,id(gtype_down)
302.6144,308.4821,q7ec3.f.gaze.24,id(gtype_off)
308.4821,327.7008,q7ec3.f.gaze.26,id(gtype_down)
327.7008,328.3508,q7ec3.f.gaze.27,id(gtype_up)
328.3508,341.1086,q7ec3.f.gaze.28,id(gtype_down)
341.1086,347.0604,q7ec3.f.gaze.29,id(gtype_up)
347.0604,355.9316,q7ec3.f.gaze.30,id(gtype_down)
355.9316,359.2984,q7ec3.f.gaze.31,id(gtype_up)
359.2984,417.1829,q7ec3.f.gaze.32,id(gtype_down)
417.1829,419.6684,q7ec3.f.gaze.33,id(gtype_up)
419.6684,446.2965,q7ec3.f.gaze.34,id(gtype_down)
