start,end,id,type
0.0000,1.1011,q3ec4.f.gaze.2,id(gtype_down)
1.1011,4.8177,q3ec4.f.gaze.3,id(gtype_up)
4.8177,20.8577,q3ec4.f.gaze.4,id(gtype_down)
20.8577,22.4149,q3ec4.f.gaze.5,id(gtype_up)
22.4149,31.7661,q3ec4.f.gaze.6,id(gtype_down)
31.7661,34.2310,q3ec4.f.gaze.7,id(gtype_up)
34.2310,101.5293,q3ec4.f.gaze.8,id(gtype_down)
101.5293,103.5138,q3ec4.f.gaze.9,id(gtype_up)
103.5138,123.1847,q3ec4.f.gaze.10,id(gtype_down)
123.1847,123.7234,q3ec4.f.gaze.11,id(gtype_up)
123.7234,188.9371,q3ec4.f.gaze.12,id(gtype_down)
188.9371,192.2902,q3ec4.f.gaze.13,id(gtype_up)
192.2902,194.1082,q3ec4.f.gaze.14,id(gtype_down)
194.1082,196.4973,q3ec4.f.gaze.15,id(gtype_up)
196.4973,215.2965,q3ec4.f.gaze.16,id(gtype_down)
215.2965,217.2762,q3ec4.f.gaze.17,id(gtype_up)
217.2762,269.6498,q3ec4.f.gaze.18,id(gtype_down)
269.6498,269.6499,q3ec4.f.gaze.19,id(gtype_up)
269.6499,269.6499,q3ec4.f.gaze.20,id(gtype_down)
269.6499,272.9617,q3ec4.f.gaze.21,id(gtype_up)
272.9617,279.9339,q3ec4.f.gaze.22,id(gtype_down)
279.9339,282.3292,q3ec4.f.gaze.23,id(gtype_up)
282.3292,306.4940,q3ec4.f.gaze.24,id(gtype_down)
306.4940,309.4886,q3ec4.f.gaze.25,id(gtype_up)
309.4886,313.0154,q3ec4.f.gaze.26,id(gtype_down)
313.0154,313.7831,q3ec4.f.gaze.27,id(gtype_up)
313.7831,316.7427,q3ec4.f.gaze.28,id(gtype_down)
316.7427,317.5645,q3ec4.f.gaze.29,id(gtype_up)
317.5645,322.3597,q3ec4.f.gaze.30,id(gtype_down)
322.3597,325.8848,q3ec4.f.gaze.31,id(gtype_up)
325.8848,326.6021,q3ec4.f.gaze.32,id(gtype_down)
326.6021,327.2467,q3ec4.f.gaze.33,id(gtype_up)
327.2467,328.0809,q3ec4.f.gaze.34,id(gtype_down)
328.0809,331.4828,q3ec4.f.gaze.35,id(gtype_up)
331.4828,331.4829,q3ec4.f.gaze.36,id(gtype_down)
331.4829,334.5147,q3ec4.f.gaze.37,id(gtype_up)
334.5147,334.8576,q3ec4.f.gaze.38,id(gtype_down)
334.8576,335.8435,q3ec4.f.gaze.39,id(gtype_up)
335.8435,338.0737,q3ec4.f.gaze.40,id(gtype_down)
338.0737,338.8955,q3ec4.f.gaze.41,id(gtype_up)
338.8955,340.9036,q3ec4.f.gaze.42,id(gtype_down)
340.9036,342.2811,q3ec4.f.gaze.43,id(gtype_up)
342.2811,346.1287,q3ec4.f.gaze.44,id(gtype_down)
346.1287,347.4856,q3ec4.f.gaze.45,id(gtype_up)
347.4856,348.6407,q3ec4.f.gaze.46,id(gtype_down)
348.6407,349.3071,q3ec4.f.gaze.47,id(gtype_up)
349.3071,365.9980,q3ec4.f.gaze.48,id(gtype_down)
365.9980,365.9981,q3ec4.f.gaze.49,id(gtype_up)
365.9981,373.7839,q3ec4.f.gaze.50,id(gtype_down)
