start,end,id,type
0.0000,2.4404,q8ec8.g.gaze.2,id(gtype_down)
2.4404,3.6191,q8ec8.g.gaze.3,id(gtype_up)
3.6191,5.1673,q8ec8.g.gaze.4,id(gtype_down)
5.1673,6.2753,q8ec8.g.gaze.5,id(gtype_up)
6.2753,9.0789,q8ec8.g.gaze.6,id(gtype_down)
9.0789,10.0711,q8ec8.g.gaze.7,id(gtype_up)
10.0711,10.9532,q8ec8.g.gaze.8,id(gtype_down)
10.9532,11.8727,q8ec8.g.gaze.9,id(gtype_up)
11.8727,12.9101,q8ec8.g.gaze.10,id(gtype_down)
12.9101,13.9780,q8ec8.g.gaze.11,id(gtype_up)
13.9780,20.6783,q8ec8.g.gaze.12,id(gtype_down)
20.6783,22.0427,q8ec8.g.gaze.13,id(gtype_up)
22.0427,23.6733,q8ec8.g.gaze.14,id(gtype_down)
23.6733,24.7794,q8ec8.g.gaze.15,id(gtype_up)
24.7794,28.0660,q8ec8.g.gaze.16,id(gtype_down)
28.0660,28.4074,q8ec8.g.gaze.17,id(gtype_up)
28.4074,35.5017,q8ec8.g.gaze.18,id(gtype_down)
35.5017,36.1620,q8ec8.g.gaze.19,id(gtype_up)
36.1620,36.5942,q8ec8.g.gaze.20,id(gtype_down)
36.5942,38.2169,q8ec8.g.gaze.21,id(gtype_up)
38.2169,39.5172,q8ec8.g.gaze.22,id(gtype_down)
39.5172,40.9444,q8ec8.g.gaze.23,id(gtype_up)
40.9444,47.7926,q8ec8.g.gaze.24,id(gtype_down)
47.7926,47.7927,q8ec8.g.gaze.25,id(gtype_up)
47.7927,60.3983,q8ec8.g.gaze.26,id(gtype_down)
60.3983,60.8471,q8ec8.g.gaze.27,id(gtype_up)
60.8471,64.7105,q8ec8.g.gaze.28,id(gtype_down)
64.7105,65.0322,q8ec8.g.gaze.29,id(gtype_up)
65.0322,76.0492,q8ec8.g.gaze.30,id(gtype_down)
76.0492,76.6636,q8ec8.g.gaze.31,id(gtype_up)
76.6636,79.8714,q8ec8.g.gaze.32,id(gtype_down)
79.8714,83.5087,q8ec8.g.gaze.33,id(gtype_up)
83.5087,87.5976,q8ec8.g.gaze.34,id(gtype_down)
87.5976,88.6479,q8ec8.g.gaze.35,id(gtype_up)
88.6479,89.4279,q8ec8.g.gaze.36,id(gtype_down)
89.4279,90.2297,q8ec8.g.gaze.37,id(gtype_up)
90.2297,93.8452,q8ec8.g.gaze.38,id(gtype_down)
93.8452,94.1460,q8ec8.g.gaze.39,id(gtype_up)
94.1460,98.0228,q8ec8.g.gaze.40,id(gtype_down)
98.0228,98.2649,q8ec8.g.gaze.41,id(gtype_up)
98.2649,98.2650,q8ec8.g.gaze.42,id(gtype_down)
98.2650,98.5341,q8ec8.g.gaze.43,id(gtype_up)
98.5341,100.3279,q8ec8.g.gaze.44,id(gtype_down)
100.3279,101.4522,q8ec8.g.gaze.45,id(gtype_up)
101.4522,102.6822,q8ec8.g.gaze.46,id(gtype_down)
102.6822,103.4490,q8ec8.g.gaze.47,id(gtype_up)
103.4490,110.1845,q8ec8.g.gaze.48,id(gtype_down)
110.1845,111.3534,q8ec8.g.gaze.49,id(gtype_up)
111.3534,113.5680,q8ec8.g.gaze.50,id(gtype_down)
113.5680,114.7611,q8ec8.g.gaze.51,id(gtype_up)
114.7611,125.7554,q8ec8.g.gaze.52,id(gtype_down)
125.7554,126.0281,q8ec8.g.gaze.53,id(gtype_up)
126.0281,126.0281,q8ec8.g.gaze.54,id(gtype_down)
126.0281,127.7528,q8ec8.g.gaze.55,id(gtype_up)
127.7528,131.1784,q8ec8.g.gaze.56,id(gtype_down)
131.1784,132.4049,q8ec8.g.gaze.57,id(gtype_up)
132.4049,133.6666,q8ec8.g.gaze.58,id(gtype_down)
133.6666,133.6668,q8ec8.g.gaze.59,id(gtype_up)
133.6668,137.7621,q8ec8.g.gaze.60,id(gtype_down)
137.7621,139.7932,q8ec8.g.gaze.61,id(gtype_up)
139.7932,140.9975,q8ec8.g.gaze.62,id(gtype_down)
140.9975,142.2588,q8ec8.g.gaze.63,id(gtype_up)
142.2588,155.2672,q8ec8.g.gaze.64,id(gtype_down)
155.2672,156.9486,q8ec8.g.gaze.65,id(gtype_up)
156.9486,162.2810,q8ec8.g.gaze.66,id(gtype_down)
162.2810,162.7765,q8ec8.g.gaze.67,id(gtype_up)
162.7765,163.1237,q8ec8.g.gaze.68,id(gtype_down)
163.1237,163.2788,q8ec8.g.gaze.69,id(gtype_up)
163.2788,163.2789,q8ec8.g.gaze.70,id(gtype_down)
