start,end,id,type
0.0000,44.3052,q4nc4.g.gaze.2,id(gtype_down)
44.3052,44.5319,q4nc4.g.gaze.3,id(gtype_up)
44.5319,66.5585,q4nc4.g.gaze.4,id(gtype_down)
66.5585,67.7373,q4nc4.g.gaze.5,id(gtype_up)
67.7373,71.2218,q4nc4.g.gaze.6,id(gtype_down)
71.2218,71.6189,q4nc4.g.gaze.7,id(gtype_up)
71.6189,85.3975,q4nc4.g.gaze.8,id(gtype_down)
85.3975,87.3519,q4nc4.g.gaze.9,id(gtype_up)
87.3519,116.2384,q4nc4.g.gaze.10,id(gtype_down)
116.2384,116.5715,q4nc4.g.gaze.11,id(gtype_up)
116.5715,117.7351,q4nc4.g.gaze.12,id(gtype_down)
117.7351,117.7844,q4nc4.g.gaze.13,id(gtype_up)
117.7844,153.7825,q4nc4.g.gaze.14,id(gtype_down)
153.7825,154.0507,q4nc4.g.gaze.15,id(gtype_up)
154.0507,157.6770,q4nc4.g.gaze.16,id(gtype_down)
157.6770,158.5951,q4nc4.g.gaze.17,id(gtype_up)
158.5951,176.0197,q4nc4.g.gaze.18,id(gtype_down)
176.0197,178.1649,q4nc4.g.gaze.19,id(gtype_up)
178.1649,185.3550,q4nc4.g.gaze.20,id(gtype_down)
185.3550,186.0697,q4nc4.g.gaze.21,id(gtype_up)
186.0697,192.3046,q4nc4.g.gaze.22,id(gtype_down)
192.3046,193.3999,q4nc4.g.gaze.23,id(gtype_up)
193.3999,197.3509,q4nc4.g.gaze.24,id(gtype_down)
197.3509,197.9406,q4nc4.g.gaze.25,id(gtype_up)
197.9406,212.3555,q4nc4.g.gaze.26,id(gtype_down)
212.3555,216.8212,q4nc4.g.gaze.27,id(gtype_up)
216.8212,222.6353,q4nc4.g.gaze.28,id(gtype_down)
222.6353,223.1117,q4nc4.g.gaze.29,id(gtype_up)
223.1117,240.7043,q4nc4.g.gaze.30,id(gtype_down)
240.7043,240.8360,q4nc4.g.gaze.31,id(gtype_up)
240.8360,257.8680,q4nc4.g.gaze.32,id(gtype_down)
257.8680,254.7145,q4nc4.g.gaze.33,id(gtype_up)
254.7145,256.4998,q4nc4.g.gaze.34,id(gtype_down)
256.4998,257.0618,q4nc4.g.gaze.35,id(gtype_up)
257.0618,410.7255,q4nc4.g.gaze.36,id(gtype_down)
410.7255,411.6632,q4nc4.g.gaze.37,id(gtype_up)
411.6632,455.9336,q4nc4.g.gaze.38,id(gtype_down)
455.9336,456.1464,q4nc4.g.gaze.39,id(gtype_up)
456.1464,467.6151,q4nc4.g.gaze.40,id(gtype_down)
467.6151,467.6152,q4nc4.g.gaze.41,id(gtype_up)
467.6152,496.6516,q4nc4.g.gaze.42,id(gtype_down)
496.6516,497.6151,q4nc4.g.gaze.43,id(gtype_up)
497.6151,505.5781,q4nc4.g.gaze.44,id(gtype_down)
505.5781,506.1908,q4nc4.g.gaze.45,id(gtype_up)
506.1908,507.1147,q4nc4.g.gaze.46,id(gtype_down)
507.1147,508.5318,q4nc4.g.gaze.47,id(gtype_up)
508.5318,508.9178,q4nc4.g.gaze.48,id(gtype_down)
508.9178,509.4450,q4nc4.g.gaze.49,id(gtype_up)
509.4450,525.1046,q4nc4.g.gaze.50,id(gtype_down)
525.1046,526.2275,q4nc4.g.gaze.51,id(gtype_up)
526.2275,560.4126,q4nc4.g.gaze.52,id(gtype_down)
560.4126,560.8950,q4nc4.g.gaze.53,id(gtype_up)
560.8950,590.0188,q4nc4.g.gaze.54,id(gtype_down)
590.0188,592.5044,q4nc4.g.gaze.55,id(gtype_up)
592.5044,593.3194,q4nc4.g.gaze.56,id(gtype_down)
593.3194,594.3341,q4nc4.g.gaze.57,id(gtype_up)
594.3341,606.1947,q4nc4.g.gaze.58,id(gtype_down)
