start,end,id,type
0.0000,2.5701,q4nc2.f.gaze.2,id(gtype_down)
2.5701,4.9649,q4nc2.f.gaze.3,id(gtype_off)
4.9649,6.9947,q4nc2.f.gaze.5,id(gtype_down)
6.9947,13.5281,q4nc2.f.gaze.6,id(gtype_off)
13.5281,14.6519,q4nc2.f.gaze.8,id(gtype_down)
14.6519,15.3785,q4nc2.f.gaze.9,id(gtype_off)
15.3785,172.1075,q4nc2.f.gaze.11,id(gtype_down)
172.1075,172.1986,q4nc2.f.gaze.12,id(gtype_up)
172.1986,178.0163,q4nc2.f.gaze.13,id(gtype_down)
178.0163,178.8154,q4nc2.f.gaze.14,id(gtype_up)
178.8154,220.9005,q4nc2.f.gaze.15,id(gtype_down)
220.9005,221.1519,q4nc2.f.gaze.16,id(gtype_up)
221.1519,224.7652,q4nc2.f.gaze.17,id(gtype_down)
224.7652,225.5981,q4nc2.f.gaze.18,id(gtype_off)
225.5981,228.9159,q4nc2.f.gaze.20,id(gtype_down)
228.9159,227.7742,q4nc2.f.gaze.21,id(gtype_off)
227.7742,237.3764,q4nc2.f.gaze.23,id(gtype_down)
237.3764,240.4020,q4nc2.f.gaze.24,id(gtype_off)
240.4020,255.5982,q4nc2.f.gaze.26,id(gtype_down)
255.5982,255.5982,q4nc2.f.gaze.27,id(gtype_off)
255.5982,304.2385,q4nc2.f.gaze.29,id(gtype_down)
304.2385,304.5525,q4nc2.f.gaze.30,id(gtype_up)
304.5525,419.4102,q4nc2.f.gaze.31,id(gtype_down)
419.4102,419.4102,q4nc2.f.gaze.32,id(gtype_off)
419.4102,424.9422,q4nc2.f.gaze.34,id(gtype_down)
424.9422,428.0376,q4nc2.f.gaze.35,id(gtype_off)
428.0376,433.7938,q4nc2.f.gaze.37,id(gtype_down)
433.7938,433.9898,q4nc2.f.gaze.38,id(gtype_off)
433.9898,446.7380,q4nc2.f.gaze.40,id(gtype_down)
446.7380,447.0520,q4nc2.f.gaze.41,id(gtype_up)
447.0520,547.0589,q4nc2.f.gaze.42,id(gtype_down)
547.0589,547.3865,q4nc2.f.gaze.43,id(gtype_up)
547.3865,558.6029,q4nc2.f.gaze.44,id(gtype_down)
